CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2444,2298,865,5607,2340,2206,806,5352
ALL,ANNE ARUNDEL,Statewide,50199,20967,21253,92419,45597,18552,18400,82549,38644,15916,14632,69192
ALL,BALTIMORE CITY,Statewide,61196,4251,9149,74596,45660,2672,5433,53765,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80735,23928,22087,126750,69620,19840,17445,106905,43023,12690,8891,64604
ALL,CALVERT,Statewide,6880,4286,2993,14159,6170,3710,2463,12343,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1072,882,486,2440,979,761,406,2146,933,724,382,2039
ALL,CARROLL,Statewide,10243,8428,4947,23618,9274,7338,4131,20743,8836,7005,3906,19747
ALL,CECIL,Statewide,4396,4210,2180,10786,3894,3643,1813,9350,0,0,0,0
ALL,CHARLES,Statewide,14726,3284,3558,21568,12727,2811,2796,18334,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1875,981,484,3340,1714,889,405,3008,1345,674,302,2321
ALL,FREDERICK,Statewide,23174,9305,9190,41669,19992,7647,7231,34870,14926,5785,4870,25581
ALL,GARRETT,Statewide,1003,1364,397,2764,916,1209,328,2453,871,1147,305,2323
ALL,HARFORD,Statewide,14876,9820,6696,31392,13126,8504,5556,27186,11230,7357,4395,22982
ALL,HOWARD,Statewide,34528,8392,12860,55780,29666,6976,10299,46941,13887,3185,3919,20991
ALL,KENT,Statewide,1508,659,414,2581,1367,572,347,2286,620,259,121,1000
ALL,MONTGOMERY,Statewide,130470,21433,40083,191986,99079,14995,26395,140469,57318,8733,13468,79519
ALL,PRINCE GEORGE'S,Statewide,93863,6441,15496,115800,80471,5151,11884,97506,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2568,1983,1108,5659,2501,1910,1071,5482
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5278,3393,2260,10931,2496,1487,838,4821
ALL,SOMERSET,Statewide,836,612,271,1719,734,505,217,1456,494,342,139,975
ALL,TALBOT,Statewide,3115,1666,1230,6011,2778,1468,1009,5255,2488,1290,868,4646
ALL,WASHINGTON,Statewide,7747,5393,3339,16479,6869,4652,2728,14249,6632,4491,2592,13715
ALL,WICOMICO,Statewide,5113,2810,1802,9725,4547,2466,1467,8480,4191,2273,1355,7819
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3199,2421,1238,6858,3021,2287,1137,6445
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,27,4,10,41,14,3,5,22
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,769,131,329,1229,2,0,1,3
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,725,101,200,1026,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,824,148,258,1230,165,30,68,263
Civilian Overseas,CALVERT,Statewide,97,28,50,175,60,15,32,107,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,9,0,3,12,6,0,0,6
Civilian Overseas,CARROLL,Statewide,153,41,53,247,119,25,38,182,26,5,11,42
Civilian Overseas,CECIL,Statewide,61,17,21,99,44,11,14,69,0,0,0,0
Civilian Overseas,CHARLES,Statewide,127,26,56,209,83,19,30,132,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,17,5,2,24,14,0,0,14
Civilian Overseas,FREDERICK,Statewide,438,76,145,659,280,41,90,411,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,13,4,8,25,12,4,5,21
Civilian Overseas,HARFORD,Statewide,220,55,107,382,172,38,71,281,144,34,58,236
Civilian Overseas,HOWARD,Statewide,842,87,297,1226,559,52,173,784,4,1,0,5
Civilian Overseas,KENT,Statewide,32,4,5,41,27,3,5,35,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5645,594,1976,8215,2909,197,829,3935,1416,102,366,1884
Civilian Overseas,PRINCE GEORGE'S,Statewide,1103,102,368,1573,715,66,215,996,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,48,4,16,68,45,4,16,65
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,73,15,22,110,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,1,0,1,2,0,0,0,0
Civilian Overseas,TALBOT,Statewide,94,9,36,139,62,5,21,88,37,2,9,48
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,72,16,27,115,36,9,10,55
Civilian Overseas,WICOMICO,Statewide,69,11,18,98,51,4,12,67,32,2,8,42
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,44,7,12,63,41,7,12,60
Domestic Civilian,ALLEGANY,Statewide,2685,2570,1029,6284,2413,2290,852,5555,2322,2201,798,5321
Domestic Civilian,ANNE ARUNDEL,Statewide,48709,20474,20473,89656,44500,18213,17838,80551,38637,15913,14629,69179
Domestic Civilian,BALTIMORE CITY,Statewide,59859,3961,8667,72487,44892,2560,5208,52660,19998,1129,1704,22831
Domestic Civilian,BALTIMORE COUNTY,Statewide,79392,23569,21545,124506,68699,19635,17125,105459,42821,12651,8804,64276
Domestic Civilian,CALVERT,Statewide,6727,4188,2903,13818,6072,3654,2400,12126,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1056,871,477,2404,967,753,401,2121,925,716,380,2021
Domestic Civilian,CARROLL,Statewide,10061,8329,4852,23242,9140,7276,4064,20480,8805,6984,3885,19674
Domestic Civilian,CECIL,Statewide,4321,4166,2149,10636,3837,3611,1791,9239,0,0,0,0
Domestic Civilian,CHARLES,Statewide,14464,3196,3418,21078,12560,2755,2718,18033,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1844,972,471,3287,1694,883,401,2978,1329,673,301,2303
Domestic Civilian,FREDERICK,Statewide,22648,9129,8967,40744,19653,7545,7094,34292,14872,5773,4844,25489
Domestic Civilian,GARRETT,Statewide,983,1348,378,2709,902,1197,318,2417,858,1135,298,2291
Domestic Civilian,HARFORD,Statewide,14588,9650,6516,30754,12912,8380,5446,26738,11060,7260,4306,22626
Domestic Civilian,HOWARD,Statewide,33526,8239,12473,54238,28997,6892,10076,45965,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1473,653,404,2530,1338,569,338,2245,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,124467,20704,37822,182993,95984,14738,25430,136152,55811,8605,13058,77474
Domestic Civilian,PRINCE GEORGE'S,Statewide,92333,6247,14935,113515,79501,5032,11568,96101,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2808,2273,1271,6352,2510,1959,1085,5554,2446,1887,1048,5381
Domestic Civilian,SAINT MARY'S,Statewide,5746,3866,2611,12223,5147,3326,2203,10676,2442,1466,810,4718
Domestic Civilian,SOMERSET,Statewide,829,609,268,1706,731,503,215,1449,492,341,139,972
Domestic Civilian,TALBOT,Statewide,3015,1648,1193,5856,2711,1457,987,5155,2446,1283,858,4587
Domestic Civilian,WASHINGTON,Statewide,7605,5323,3288,16216,6776,4605,2689,14070,6576,4453,2570,13599
Domestic Civilian,WICOMICO,Statewide,5032,2784,1771,9587,4492,2454,1447,8393,4155,2264,1341,7760
Domestic Civilian,WORCESTER,Statewide,3546,2802,1480,7828,3150,2396,1217,6763,2975,2265,1117,6357
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,90,52,59,201,71,42,35,148,0,1,1,2
Military Overseas,BALTIMORE CITY,Statewide,16,3,9,28,8,1,5,14,1,0,1,2
Military Overseas,BALTIMORE COUNTY,Statewide,25,24,21,70,19,15,12,46,9,4,4,17
Military Overseas,CALVERT,Statewide,8,10,5,23,5,7,4,16,2,2,2,6
Military Overseas,CAROLINE,Statewide,0,4,0,4,0,3,0,3,0,3,0,3
Military Overseas,CARROLL,Statewide,9,13,8,30,4,8,5,17,1,2,2,5
Military Overseas,CECIL,Statewide,2,4,1,7,2,4,1,7,0,0,0,0
Military Overseas,CHARLES,Statewide,23,21,12,56,16,10,7,33,2,2,0,4
Military Overseas,DORCHESTER,Statewide,1,0,0,1,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,17,14,14,45,11,9,9,29,0,2,3,5
Military Overseas,GARRETT,Statewide,0,3,1,4,0,3,0,3,0,3,0,3
Military Overseas,HARFORD,Statewide,16,22,13,51,11,18,7,36,11,17,6,34
Military Overseas,HOWARD,Statewide,29,12,19,60,19,6,12,37,0,0,0,0
Military Overseas,KENT,Statewide,1,1,3,5,1,0,3,4,0,0,0,0
Military Overseas,MONTGOMERY,Statewide,65,26,45,136,39,11,22,72,16,4,12,32
Military Overseas,PRINCE GEORGE'S,Statewide,79,14,30,123,49,8,17,74,4,2,3,9
