CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2523,2370,885,5778,1316,1295,395,3006,429,431,138,998
ALL,ANNE ARUNDEL,Statewide,46805,19335,18967,85107,21493,8608,7072,37173,2522,961,799,4282
ALL,BALTIMORE CITY,Statewide,55429,3705,7554,66688,18259,1047,1580,20886,0,0,0,0
ALL,BALTIMORE COUNTY,Statewide,73650,21569,18888,114107,27282,7939,5179,40400,0,0,0,0
ALL,CALVERT,Statewide,6237,3843,2537,12617,2941,1674,946,5561,1922,1107,641,3670
ALL,CAROLINE,Statewide,974,799,423,2196,483,379,182,1044,418,316,146,880
ALL,CARROLL,Statewide,9549,7644,4300,21493,4028,3035,1441,8504,3224,2518,1173,6915
ALL,CECIL,Statewide,3995,3830,1880,9705,1722,1496,657,3875,0,0,0,0
ALL,CHARLES,Statewide,13013,2943,2986,18942,5397,1322,986,7705,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1717,875,430,3022,802,386,154,1342,0,0,0,0
ALL,FREDERICK,Statewide,21315,8328,7844,37487,8950,3309,2721,14980,3543,1395,1059,5997
ALL,GARRETT,Statewide,945,1259,358,2562,521,626,148,1295,260,338,77,675
ALL,HARFORD,Statewide,13638,8828,5791,28257,6373,4096,2170,12639,5057,3216,1723,9996
ALL,HOWARD,Statewide,31830,7622,11094,50546,13421,3031,3732,20184,5372,1220,1406,7998
ALL,KENT,Statewide,1431,610,375,2416,836,321,161,1318,620,259,121,1000
ALL,MONTGOMERY,Statewide,116910,18582,33032,168524,37033,6004,8502,51539,0,0,0,0
ALL,PRINCE GEORGE'S,Statewide,81711,5544,12455,99710,34530,2147,3509,40186,0,0,0,0
ALL,QUEEN ANNE'S,Statewide,2713,2092,1158,5963,1276,992,494,2762,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5421,3586,2307,11314,2556,1528,855,4939,2496,1487,838,4821
ALL,SOMERSET,Statewide,785,549,246,1580,424,244,100,768,0,0,0,0
ALL,TALBOT,Statewide,2911,1536,1124,5571,1543,739,472,2754,564,260,175,999
ALL,WASHINGTON,Statewide,7190,4916,2923,15029,3365,2369,1133,6867,2049,1317,631,3997
ALL,WICOMICO,Statewide,4647,2498,1554,8699,2399,1275,629,4303,1687,902,411,3000
ALL,WORCESTER,Statewide,3332,2552,1333,7217,1866,1337,572,3775,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,32,6,12,50,10,0,3,13,0,0,0,0
Civilian Overseas,ANNE ARUNDEL,Statewide,959,171,396,1526,280,36,115,431,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1146,247,385,1778,161,14,36,211,0,0,0,0
Civilian Overseas,BALTIMORE COUNTY,Statewide,1102,230,385,1717,232,26,76,334,0,0,0,0
Civilian Overseas,CALVERT,Statewide,80,23,43,146,18,4,13,35,3,1,4,8
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,4,0,0,4,2,0,0,2
Civilian Overseas,CARROLL,Statewide,141,35,47,223,37,9,11,57,4,0,3,7
Civilian Overseas,CECIL,Statewide,56,16,18,90,12,3,7,22,0,0,0,0
Civilian Overseas,CHARLES,Statewide,109,25,44,178,28,13,7,48,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,21,8,3,32,3,0,1,4,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,392,65,126,583,111,15,32,158,0,0,0,0
Civilian Overseas,GARRETT,Statewide,17,5,13,35,4,3,2,9,0,1,0,1
Civilian Overseas,HARFORD,Statewide,206,46,85,337,60,17,26,103,29,10,15,54
Civilian Overseas,HOWARD,Statewide,764,73,249,1086,189,13,50,252,4,1,0,5
Civilian Overseas,KENT,Statewide,28,2,3,33,11,0,2,13,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,4879,496,1613,6988,829,42,190,1061,0,0,0,0
Civilian Overseas,PRINCE GEORGE'S,Statewide,893,89,305,1287,198,20,54,272,0,0,0,0
Civilian Overseas,QUEEN ANNE'S,Statewide,56,7,20,83,18,1,9,28,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,91,24,35,150,36,7,14,57,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,0,0,0,0,0,0,0,0
Civilian Overseas,TALBOT,Statewide,83,9,33,125,29,2,5,36,4,0,0,4
Civilian Overseas,WASHINGTON,Statewide,105,18,35,158,25,6,10,41,6,0,1,7
Civilian Overseas,WICOMICO,Statewide,67,9,17,93,25,1,2,28,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,51,12,19,82,25,3,7,35,12,1,6,19
