CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2651,2515,992,6158,1850,1778,580,4208,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,48921,20368,20347,89636,32626,13290,11626,57542,25286,10297,8513,44096
ALL,BALTIMORE CITY,Statewide,58893,4021,8485,71399,29444,1719,2852,34015,20157,1145,1743,23045
ALL,BALTIMORE COUNTY,Statewide,77312,22837,20467,120616,46021,13476,9548,69045,32884,9596,6351,48831
ALL,CALVERT,Statewide,6616,4093,2791,13500,4475,2690,1558,8723,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1021,837,454,2312,698,571,272,1541,418,316,146,880
ALL,CARROLL,Statewide,9916,8064,4617,22597,6705,5272,2565,14542,3224,2518,1173,6915
ALL,CECIL,Statewide,4230,4026,2048,10304,2673,2436,1091,6200,0,0,0,0
ALL,CHARLES,Statewide,13952,3159,3269,20380,8604,2055,1653,12312,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1808,939,457,3204,1256,672,266,2194,0,0,0,0
ALL,FREDERICK,Statewide,22458,8925,8622,40005,13714,5259,4397,23370,9261,3496,2828,15585
ALL,GARRETT,Statewide,982,1319,383,2684,700,883,229,1812,260,338,77,675
ALL,HARFORD,Statewide,14285,9341,6244,29870,9437,6177,3435,19049,5057,3216,1723,9996
ALL,HOWARD,Statewide,33290,8046,12053,53389,20588,4776,6151,31515,13887,3185,3919,20991
ALL,KENT,Statewide,1476,647,403,2526,1132,454,247,1833,620,259,121,1000
ALL,MONTGOMERY,Statewide,123489,20030,36355,179874,62241,9552,14825,86618,40442,6442,9142,56026
ALL,PRINCE GEORGE'S,Statewide,87910,6016,13972,107898,55159,3468,6395,65022,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2831,2218,1256,6305,1942,1470,769,4181,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5727,3842,2545,12114,3822,2401,1401,7624,2496,1487,838,4821
ALL,SOMERSET,Statewide,808,584,256,1648,584,371,146,1101,0,0,0,0
ALL,TALBOT,Statewide,3037,1608,1177,5822,2249,1102,729,4080,1800,901,572,3273
ALL,WASHINGTON,Statewide,7538,5225,3167,15930,5057,3507,1769,10333,3692,2597,1237,7526
ALL,WICOMICO,Statewide,4969,2716,1725,9410,3457,1902,969,6328,1687,902,411,3000
ALL,WORCESTER,Statewide,3505,2728,1452,7685,2531,1881,847,5259,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,35,8,12,55,18,0,6,24,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1021,192,425,1638,496,81,210,787,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1205,260,421,1886,465,58,122,645,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1154,241,408,1803,516,90,171,777,113,20,45,178
Civilian Overseas,CALVERT,Statewide,91,26,48,165,34,10,21,65,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,6,0,0,6,2,0,0,2
Civilian Overseas,CARROLL,Statewide,149,37,51,237,78,18,27,123,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,16,19,96,21,8,11,40,0,0,0,0
Civilian Overseas,CHARLES,Statewide,119,25,50,194,51,18,15,84,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,23,8,4,35,11,3,1,15,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,419,73,138,630,171,28,51,250,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,3,5,18,0,1,0,1
Civilian Overseas,HARFORD,Statewide,217,49,100,366,119,29,47,195,29,10,15,54
Civilian Overseas,HOWARD,Statewide,793,79,274,1146,386,28,113,527,4,1,0,5
Civilian Overseas,KENT,Statewide,31,4,4,39,17,3,2,22,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5358,562,1843,7763,1692,122,471,2285,777,52,169,998
Civilian Overseas,PRINCE GEORGE'S,Statewide,992,95,345,1432,483,49,125,657,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,63,7,22,92,28,3,12,43,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,94,25,38,157,52,10,17,79,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,89,9,34,132,43,3,9,55,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,109,21,35,165,47,14,21,82,13,3,5,21
Civilian Overseas,WICOMICO,Statewide,67,10,17,94,39,3,6,48,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,22,91,35,6,8,49,12,1,6,19
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Domestic Civilian,ALLEGANY,Statewide,2612,2502,976,6090,1828,1776,573,4177,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,47507,19921,19617,87045,31965,13123,11326,56414,25286,10297,8513,44096
Domestic Civilian,BALTIMORE CITY,Statewide,57611,3743,8021,69375,28959,1657,2722,33338,19992,1129,1702,22823
Domestic Civilian,BALTIMORE COUNTY,Statewide,76040,22518,19978,118536,45459,13367,9353,68179,32749,9570,6294,48613
Domestic Civilian,CALVERT,Statewide,6474,4010,2706,13190,4423,2658,1524,8605,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1007,826,447,2280,691,564,270,1525,416,311,145,872
Domestic Civilian,CARROLL,Statewide,9743,7980,4528,22251,6619,5244,2525,14388,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4155,3987,2023,10165,2645,2415,1076,6136,0,0,0,0
Domestic Civilian,CHARLES,Statewide,13714,3077,3146,19937,8513,2015,1618,12146,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1780,930,448,3158,1244,668,264,2176,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,21960,8764,8416,39140,13513,5204,4322,23039,9209,3485,2804,15498
Domestic Civilian,GARRETT,Statewide,962,1304,365,2631,690,877,223,1790,260,336,76,672
Domestic Civilian,HARFORD,Statewide,14003,9189,6077,29269,9298,6114,3366,18778,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,32348,7910,11697,51955,20142,4733,6012,30887,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1442,642,394,2478,1114,451,243,1808,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,117808,19347,34248,171403,60443,9400,14289,84132,39611,6372,8951,54934
Domestic Civilian,PRINCE GEORGE'S,Statewide,86551,5842,13465,105858,54553,3391,6225,64169,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2752,2186,1223,6161,1909,1459,753,4121,460,378,168,1006
Domestic Civilian,SAINT MARY'S,Statewide,5555,3746,2462,11763,3741,2366,1363,7470,2442,1466,810,4718
Domestic Civilian,SOMERSET,Statewide,801,581,254,1636,581,370,146,1097,0,0,0,0
Domestic Civilian,TALBOT,Statewide,2943,1591,1142,5676,2202,1094,720,4016,1766,896,566,3228
Domestic Civilian,WASHINGTON,Statewide,7404,5163,3118,15685,4999,3479,1744,10222,3673,2586,1231,7490
Domestic Civilian,WICOMICO,Statewide,4891,2693,1697,9281,3414,1898,960,6272,1683,902,411,2996
