CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2674,2533,1006,6213,1897,1835,619,4351,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,49567,20652,20792,91011,34147,13932,12352,60431,28666,11811,9946,50423
ALL,BALTIMORE CITY,Statewide,59582,4083,8674,72339,30457,1783,2988,35228,20157,1145,1743,23045
ALL,BALTIMORE COUNTY,Statewide,78729,23277,21110,123116,46122,13502,9580,69204,32884,9596,6351,48831
ALL,CALVERT,Statewide,6741,4184,2877,13802,4631,2763,1612,9006,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1043,854,464,2361,728,597,286,1611,418,316,146,880
ALL,CARROLL,Statewide,10063,8235,4746,23044,6991,5476,2685,15152,3224,2518,1173,6915
ALL,CECIL,Statewide,4261,4059,2067,10387,2865,2614,1171,6650,0,0,0,0
ALL,CHARLES,Statewide,14253,3208,3378,20839,9044,2156,1765,12965,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1823,946,461,3230,1338,708,286,2332,0,0,0,0
ALL,FREDERICK,Statewide,22526,8962,8674,40162,13869,5333,4467,23669,9261,3496,2828,15585
ALL,GARRETT,Statewide,990,1343,389,2722,735,953,243,1931,260,338,77,675
ALL,HARFORD,Statewide,14526,9536,6409,30471,9732,6368,3576,19676,5057,3216,1723,9996
ALL,HOWARD,Statewide,33771,8184,12396,54351,21559,5037,6565,33161,13887,3185,3919,20991
ALL,KENT,Statewide,1482,649,405,2536,1163,471,262,1896,620,259,121,1000
ALL,MONTGOMERY,Statewide,127675,20873,38577,187125,66873,10252,16081,93206,40442,6442,9142,56026
ALL,PRINCE GEORGE'S,Statewide,91012,6227,14736,111975,57416,3597,6794,67807,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2846,2241,1267,6354,1990,1515,786,4291,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5785,3876,2584,12245,3984,2475,1469,7928,2496,1487,838,4821
ALL,SOMERSET,Statewide,809,589,257,1655,600,392,162,1154,0,0,0,0
ALL,TALBOT,Statewide,3055,1621,1194,5870,2304,1138,754,4196,1800,901,572,3273
ALL,WASHINGTON,Statewide,7583,5262,3202,16047,5254,3656,1856,10766,3692,2597,1237,7526
ALL,WICOMICO,Statewide,4996,2733,1744,9473,3557,1965,1021,6543,1687,902,411,3000
ALL,WORCESTER,Statewide,3541,2764,1468,7773,2656,1981,914,5551,1214,886,398,2498
Civilian Overseas,ALLEGANY,Statewide,35,8,12,55,19,0,9,28,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1032,194,437,1663,500,87,215,802,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1217,262,427,1906,466,58,122,646,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1175,248,423,1846,517,90,171,778,113,20,45,178
Civilian Overseas,CALVERT,Statewide,92,26,49,167,37,11,24,72,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,6,0,2,8,2,0,0,2
Civilian Overseas,CARROLL,Statewide,150,39,51,240,88,20,31,139,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,17,19,97,26,10,12,48,0,0,0,0
Civilian Overseas,CHARLES,Statewide,121,26,51,198,55,18,17,90,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,13,3,1,17,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,428,73,140,641,175,28,54,257,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,3,6,19,0,1,0,1
Civilian Overseas,HARFORD,Statewide,220,51,102,373,120,29,47,196,29,10,15,54
Civilian Overseas,HOWARD,Statewide,820,81,285,1186,388,28,113,529,4,1,0,5
Civilian Overseas,KENT,Statewide,31,4,4,39,19,3,2,24,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5495,571,1899,7965,1789,129,507,2425,777,52,169,998
Civilian Overseas,PRINCE GEORGE'S,Statewide,1047,97,356,1500,490,49,131,670,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,63,7,22,92,28,3,12,43,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,94,28,38,160,60,10,20,90,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,90,9,35,134,45,3,11,59,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,110,21,35,166,49,14,22,85,13,3,5,21
Civilian Overseas,WICOMICO,Statewide,67,10,17,94,42,3,7,52,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,22,91,37,6,9,52,12,1,6,19
Domestic Civilian,ALLEGANY,Statewide,2635,2520,990,6145,1874,1833,609,4316,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,48128,20195,20039,88362,33463,13754,12037,59254,28666,11811,9946,50423
Domestic Civilian,BALTIMORE CITY,Statewide,58284,3803,8204,70291,29970,1721,2858,34549,19992,1129,1702,22823
Domestic Civilian,BALTIMORE COUNTY,Statewide,77425,22941,20599,120965,45559,13393,9385,68337,32749,9570,6294,48613
Domestic Civilian,CALVERT,Statewide,6596,4097,2791,13484,4574,2728,1575,8877,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1029,843,456,2328,720,590,282,1592,416,311,145,872
Domestic Civilian,CARROLL,Statewide,9887,8146,4655,22688,6894,5445,2640,14979,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4186,4019,2042,10247,2830,2590,1155,6575,0,0,0,0
Domestic Civilian,CHARLES,Statewide,14004,3123,3250,20377,8947,2114,1726,12787,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1793,937,451,3181,1323,704,284,2311,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,22015,8799,8464,39278,13663,5277,4388,23328,9209,3485,2804,15498
Domestic Civilian,GARRETT,Statewide,970,1327,371,2668,725,947,236,1908,260,336,76,672
Domestic Civilian,HARFORD,Statewide,14241,9379,6238,29858,9590,6296,3507,19393,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,32799,8045,12027,52871,21110,4994,6425,32529,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1448,644,396,2488,1142,468,258,1868,618,259,121,998
