CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2363,2241,817,5421,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,50196,20963,21251,92410,43549,17707,17134,78390,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,61180,4250,9146,74576,41421,2414,4611,48446,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80727,23926,22082,126735,61858,17783,14415,94056,42494,12547,8797,63838
ALL,CALVERT,Statewide,6880,4286,2993,14159,5916,3564,2289,11769,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1072,882,486,2440,931,730,372,2033,418,316,146,880
ALL,CARROLL,Statewide,10243,8428,4947,23618,8753,6930,3781,19464,3224,2518,1173,6915
ALL,CECIL,Statewide,4396,4209,2180,10785,3684,3411,1655,8750,0,0,0,0
ALL,CHARLES,Statewide,14724,3284,3557,21565,12257,2722,2632,17611,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1871,981,483,3335,1639,855,368,2862,0,0,0,0
ALL,FREDERICK,Statewide,23174,9305,9190,41669,19028,7321,6692,33041,9261,3496,2828,15585
ALL,GARRETT,Statewide,1003,1364,397,2764,893,1165,305,2363,260,338,77,675
ALL,HARFORD,Statewide,14877,9820,6696,31393,12230,7988,5022,25240,5057,3216,1723,9996
ALL,HOWARD,Statewide,34527,8392,12860,55779,28027,6535,9366,43928,13887,3185,3919,20991
ALL,KENT,Statewide,1508,659,414,2581,1328,548,330,2206,620,259,121,1000
ALL,MONTGOMERY,Statewide,130460,21427,40074,191961,95468,14381,24922,134771,57318,8733,13468,79519
ALL,PRINCE GEORGE'S,Statewide,93839,6439,15496,115774,73308,4575,9877,87760,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2503,1905,1058,5466,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5926,3969,2698,12593,5085,3253,2139,10477,2496,1487,838,4821
ALL,SOMERSET,Statewide,836,612,271,1719,724,493,208,1425,0,0,0,0
ALL,TALBOT,Statewide,3115,1666,1230,6011,2626,1347,929,4902,1800,901,572,3273
