CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2459,2303,872,5634,2449,2295,869,5613
ALL,ANNE ARUNDEL,Statewide,50198,20967,21253,92418,45949,18660,18584,83193,45242,18375,18232,81849
ALL,BALTIMORE CITY,Statewide,61195,4251,9147,74593,51619,3142,6897,61658,40525,2369,4466,47360
ALL,BALTIMORE COUNTY,Statewide,80738,23927,22088,126753,70921,20173,17998,109092,65945,18851,16236,101032
ALL,CALVERT,Statewide,6881,4286,2993,14160,6282,3798,2535,12615,6268,3786,2525,12579
ALL,CAROLINE,Statewide,1072,882,486,2440,989,764,416,2169,989,763,414,2166
ALL,CARROLL,Statewide,10243,8428,4947,23618,9401,7442,4234,21077,9385,7428,4220,21033
ALL,CECIL,Statewide,4396,4210,2180,10786,3960,3687,1849,9496,3954,3680,1839,9473
ALL,CHARLES,Statewide,14726,3284,3558,21568,12999,2861,2892,18752,12972,2854,2883,18709
ALL,DORCHESTER,Statewide,1875,981,484,3340,1730,898,412,3040,1718,896,410,3024
ALL,FREDERICK,Statewide,23174,9305,9190,41669,20986,8070,7801,36857,20939,8042,7772,36753
ALL,GARRETT,Statewide,1003,1364,397,2764,921,1217,333,2471,920,1212,332,2464
ALL,HARFORD,Statewide,14877,9819,6696,31392,13343,8620,5698,27661,13312,8592,5683,27587
ALL,HOWARD,Statewide,34527,8392,12860,55779,30788,7186,10882,48856,30675,7159,10822,48656
ALL,KENT,Statewide,1508,659,414,2581,1378,576,352,2306,1212,517,292,2021
ALL,MONTGOMERY,Statewide,130465,21433,40085,191983,114069,17491,32485,164045,97818,15079,26697,139594
ALL,PRINCE GEORGE'S,Statewide,93861,6441,15495,115797,81572,5225,12248,99045,69574,4403,9631,83608
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2606,2008,1129,5743,2602,2001,1125,5728
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5330,3429,2301,11060,5324,3422,2293,11039
ALL,SOMERSET,Statewide,836,612,271,1719,745,518,221,1484,743,517,220,1480
ALL,TALBOT,Statewide,3113,1666,1231,6010,2842,1492,1048,5382,2838,1488,1040,5366
ALL,WASHINGTON,Statewide,7746,5393,3339,16478,6964,4689,2778,14431,6958,4680,2775,14413
ALL,WICOMICO,Statewide,5114,2809,1801,9724,4602,2494,1499,8595,4592,2489,1492,8573
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3259,2452,1269,6980,3251,2445,1265,6961
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,30,4,11,45,30,4,11,45
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,849,146,360,1355,785,132,340,1257
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,925,142,279,1346,648,86,183,917
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,933,169,296,1398,539,93,173,805
Civilian Overseas,CALVERT,Statewide,97,28,50,175,65,21,37,123,65,21,37,123
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,10,0,4,14,10,0,4,14
Civilian Overseas,CARROLL,Statewide,153,41,53,247,124,29,43,196,124,29,43,196
Civilian Overseas,CECIL,Statewide,61,17,21,99,48,13,18,79,48,13,18,79
Civilian Overseas,CHARLES,Statewide,127,26,56,209,92,23,35,150,92,23,35,150
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,19,5,3,27,19,5,3,27
Civilian Overseas,FREDERICK,Statewide,438,76,145,659,335,50,105,490,333,50,104,487
Civilian Overseas,GARRETT,Statewide,18,6,13,37,13,4,10,27,13,4,10,27
Civilian Overseas,HARFORD,Statewide,220,55,107,382,188,42,92,322,188,42,91,321
Civilian Overseas,HOWARD,Statewide,842,87,297,1226,661,58,216,935,659,58,215,932
Civilian Overseas,KENT,Statewide,32,4,5,41,28,3,5,36,5,1,0,6
Civilian Overseas,MONTGOMERY,Statewide,5645,594,1976,8215,4347,355,1340,6042,2771,204,807,3782
Civilian Overseas,PRINCE GEORGE'S,Statewide,1103,102,368,1573,814,73,256,1143,150,26,53,229
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,58,5,20,83,57,5,19,81
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,79,18,24,121,79,18,24,121
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,2,0,1,3,1,0,1,2
Civilian Overseas,TALBOT,Statewide,94,9,36,139,75,7,28,110,74,7,28,109
Civilian Overseas,WASHINGTON,Statewide,112,21,36,169,81,17,28,126,81,17,28,126
Civilian Overseas,WICOMICO,Statewide,69,11,18,98,56,6,14,76,56,6,14,76
Civilian Overseas,WORCESTER,Statewide,56,13,23,92,48,7,15,70,48,7,15,70
Domestic Civilian,ALLEGANY,Statewide,2685,2570,1029,6284,2425,2294,857,5576,2415,2286,854,5555
Domestic Civilian,ANNE ARUNDEL,Statewide,48708,20474,20473,89655,44750,18292,17970,81012,44123,18032,17649,79804
Domestic Civilian,BALTIMORE CITY,Statewide,59858,3961,8665,72484,50633,2987,6588,60208,39844,2275,4267,46386
Domestic Civilian,BALTIMORE COUNTY,Statewide,79395,23568,21546,124509,69877,19934,17633,107444,65327,18714,16012,100053
Domestic Civilian,CALVERT,Statewide,6728,4188,2903,13819,6171,3724,2466,12361,6159,3714,2456,12329
Domestic Civilian,CAROLINE,Statewide,1056,871,477,2404,976,756,410,2142,976,755,408,2139
Domestic Civilian,CARROLL,Statewide,10061,8329,4852,23242,9256,7371,4159,20786,9240,7357,4146,20743
Domestic Civilian,CECIL,Statewide,4321,4166,2149,10636,3898,3651,1823,9372,3892,3645,1813,9350
Domestic Civilian,CHARLES,Statewide,14464,3196,3418,21078,12807,2795,2804,18406,12780,2789,2795,18364
Domestic Civilian,DORCHESTER,Statewide,1844,972,471,3287,1708,892,405,3005,1696,890,403,2989
Domestic Civilian,FREDERICK,Statewide,22648,9129,8967,40744,20582,7943,7636,36161,20538,7918,7608,36064
Domestic Civilian,GARRETT,Statewide,983,1348,378,2709,907,1205,321,2433,906,1200,320,2426
Domestic Civilian,HARFORD,Statewide,14589,9649,6516,30754,13107,8488,5559,27154,13077,8460,5545,27082
