CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2629,2494,968,6091,1833,1767,570,4170,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,48933,20371,20349,89653,31910,13034,11295,56239,25286,10297,8513,44096
ALL,BALTIMORE CITY,Statewide,58894,4023,8488,71405,28900,1671,2773,33344,20157,1145,1743,23045
ALL,BALTIMORE COUNTY,Statewide,77325,22839,20471,120635,45476,13342,9427,68245,32884,9596,6351,48831
ALL,CALVERT,Statewide,6617,4095,2791,13503,4258,2523,1468,8249,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1021,839,454,2314,693,568,271,1532,418,316,146,880
ALL,CARROLL,Statewide,9917,8064,4619,22600,6613,5215,2514,14342,3224,2518,1173,6915
ALL,CECIL,Statewide,4230,4027,2048,10305,2629,2398,1073,6100,0,0,0,0
ALL,CHARLES,Statewide,13953,3159,3270,20382,8484,2026,1625,12135,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1807,939,456,3202,1231,658,255,2144,0,0,0,0
ALL,FREDERICK,Statewide,22375,8888,8563,39826,13704,5257,4392,23353,9261,3496,2828,15585
ALL,GARRETT,Statewide,982,1319,383,2684,700,883,229,1812,260,338,77,675
ALL,HARFORD,Statewide,14279,9340,6242,29861,9305,6097,3381,18783,5057,3216,1723,9996
ALL,HOWARD,Statewide,33294,8044,12054,53392,20192,4715,6041,30948,13887,3185,3919,20991
ALL,KENT,Statewide,1477,647,403,2527,1126,444,246,1816,620,259,121,1000
ALL,MONTGOMERY,Statewide,123514,20036,36374,179924,62032,9522,14757,86311,26633,4284,6006,36923
ALL,PRINCE GEORGE'S,Statewide,87942,6018,13983,107943,54036,3418,6213,63667,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2832,2218,1256,6306,1922,1468,753,4143,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5726,3841,2541,12108,3777,2345,1369,7491,2496,1487,838,4821
ALL,SOMERSET,Statewide,809,584,257,1650,570,359,143,1072,0,0,0,0
ALL,TALBOT,Statewide,3037,1609,1176,5822,2218,1088,722,4028,1800,901,572,3273
ALL,WASHINGTON,Statewide,7523,5222,3162,15907,4857,3411,1716,9984,3692,2597,1237,7526
ALL,WICOMICO,Statewide,4969,2716,1725,9410,3401,1873,942,6216,1687,902,411,3000
ALL,WORCESTER,Statewide,3505,2729,1452,7686,2531,1881,847,5259,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,35,8,12,55,18,0,6,24,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1022,192,425,1639,478,79,198,755,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1205,260,422,1887,448,54,119,621,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1154,242,408,1804,487,86,164,737,113,20,45,178
Civilian Overseas,CALVERT,Statewide,91,26,48,165,34,10,21,65,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,6,0,0,6,2,0,0,2
Civilian Overseas,CARROLL,Statewide,149,37,51,237,76,18,27,121,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,16,19,96,21,8,11,40,0,0,0,0
Civilian Overseas,CHARLES,Statewide,119,25,50,194,48,18,15,81,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,23,8,4,35,11,3,1,15,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,419,73,138,630,171,28,50,249,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,3,5,18,0,1,0,1
Civilian Overseas,HARFORD,Statewide,216,49,99,364,119,29,47,195,29,10,15,54
Civilian Overseas,HOWARD,Statewide,793,79,274,1146,387,28,113,528,4,1,0,5
Civilian Overseas,KENT,Statewide,31,4,4,39,17,3,2,22,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5363,562,1844,7769,1617,114,436,2167,335,19,80,434
Civilian Overseas,PRINCE GEORGE'S,Statewide,992,95,345,1432,451,48,119,618,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,63,7,22,92,28,3,12,43,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,94,25,38,157,52,10,17,79,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,89,9,34,132,42,3,9,54,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,109,21,35,165,47,14,21,82,13,3,5,21
Civilian Overseas,WICOMICO,Statewide,67,10,17,94,39,3,6,48,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,22,91,35,6,8,49,12,1,6,19
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Domestic Civilian,ALLEGANY,Statewide,2590,2481,952,6023,1811,1765,563,4139,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,47518,19924,19619,87061,31276,12872,11012,55160,25286,10297,8513,44096
Domestic Civilian,BALTIMORE CITY,Statewide,57612,3745,8023,69380,28432,1613,2646,32691,19992,1129,1702,22823
Domestic Civilian,BALTIMORE COUNTY,Statewide,76053,22519,19982,118554,44946,13237,9239,67422,32749,9570,6294,48613
Domestic Civilian,CALVERT,Statewide,6475,4012,2705,13192,4206,2492,1435,8133,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1007,828,447,2282,686,561,269,1516,416,311,145,872
Domestic Civilian,CARROLL,Statewide,9744,7980,4530,22254,6529,5187,2474,14190,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4155,3988,2023,10166,2601,2377,1058,6036,0,0,0,0
Domestic Civilian,CHARLES,Statewide,13715,3077,3147,19939,8399,1986,1590,11975,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1779,930,447,3156,1219,654,253,2126,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,21877,8727,8359,38963,13504,5202,4318,23024,9209,3485,2804,15498
Domestic Civilian,GARRETT,Statewide,962,1304,365,2631,690,877,223,1790,260,336,76,672
Domestic Civilian,HARFORD,Statewide,14004,9191,6079,29274,9167,6035,3312,18514,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,32352,7908,11698,51958,19745,4672,5902,30319,13883,3184,3919,20986
Domestic Civilian,KENT,Statewide,1443,642,394,2479,1108,441,242,1791,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,117827,19353,34266,171446,60309,9378,14258,83945,26267,4257,5909,36433
Domestic Civilian,PRINCE GEORGE'S,Statewide,86583,5844,13475,105902,53467,3345,6051,62863,31818,1965,3119,36902
Domestic Civilian,QUEEN ANNE'S,Statewide,2753,2186,1223,6162,1889,1457,737,4083,460,378,168,1006
Domestic Civilian,SAINT MARY'S,Statewide,5555,3745,2459,11759,3696,2310,1331,7337,2442,1466,810,4718
Domestic Civilian,SOMERSET,Statewide,802,581,255,1638,567,358,143,1068,0,0,0,0
