CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2687,2544,1010,6241,1957,1896,635,4488,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,49602,20679,20825,91106,35543,14480,12955,62978,28666,11811,9946,50423
ALL,BALTIMORE CITY,Statewide,59831,4116,8745,72692,32623,1891,3285,37799,20157,1145,1743,23045
ALL,BALTIMORE COUNTY,Statewide,79055,23400,21277,123732,48402,13998,10125,72525,32884,9596,6351,48831
ALL,CALVERT,Statewide,6767,4204,2889,13860,4685,2822,1664,9171,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1049,855,468,2372,751,615,295,1661,418,316,146,880
ALL,CARROLL,Statewide,10101,8269,4773,23143,7148,5633,2765,15546,3224,2518,1173,6915
ALL,CECIL,Statewide,4307,4105,2114,10526,2937,2717,1221,6875,0,0,0,0
ALL,CHARLES,Statewide,14333,3223,3411,20967,9584,2245,1901,13730,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1830,951,461,3242,1371,722,294,2387,0,0,0,0
ALL,FREDERICK,Statewide,22783,9101,8867,40751,14157,5429,4577,24163,9261,3496,2828,15585
ALL,GARRETT,Statewide,996,1345,390,2731,752,968,249,1969,260,338,77,675
ALL,HARFORD,Statewide,14596,9599,6466,30661,10058,6588,3739,20385,5057,3216,1723,9996
ALL,HOWARD,Statewide,33899,8222,12477,54598,22173,5196,6816,34185,13887,3185,3919,20991
ALL,KENT,Statewide,1484,649,406,2539,1195,492,280,1967,620,259,121,1000
ALL,MONTGOMERY,Statewide,128083,20947,38791,187821,67980,10425,16376,94781,40442,6442,9142,56026
ALL,PRINCE GEORGE'S,Statewide,91523,6273,14857,112653,58933,3686,7045,69664,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2852,2254,1278,6384,2056,1573,817,4446,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5814,3891,2610,12315,4138,2562,1529,8229,2496,1487,838,4821
