CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2697,2551,1019,6267,2070,1983,656,4709,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,49639,20699,20868,91206,36972,15084,13593,65649,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,60170,4141,8827,73138,35041,2055,3677,40773,20163,1145,1743,23051
ALL,BALTIMORE COUNTY,Statewide,79572,23578,21525,124675,48398,14000,10125,72523,32884,9596,6351,48831
ALL,CALVERT,Statewide,6794,4225,2914,13933,4936,2986,1784,9706,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1053,860,472,2385,802,643,313,1758,418,316,146,880
ALL,CARROLL,Statewide,10156,8331,4834,23321,7358,5788,2865,16011,3224,2518,1173,6915
ALL,CECIL,Statewide,4320,4115,2118,10553,3057,2834,1284,7175,0,0,0,0
ALL,CHARLES,Statewide,14435,3238,3449,21122,9900,2312,1962,14174,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1845,956,468,3269,1395,738,298,2431,0,0,0,0
ALL,FREDERICK,Statewide,22881,9160,8954,40995,14900,5761,4868,25529,9261,3496,2828,15585
ALL,GARRETT,Statewide,996,1351,391,2738,777,1021,260,2058,260,338,77,675
ALL,HARFORD,Statewide,14674,9673,6530,30877,10410,6829,3935,21174,5057,3216,1723,9996
ALL,HOWARD,Statewide,34098,8265,12594,54957,23181,5415,7191,35787,13887,3185,3919,20991
ALL,KENT,Statewide,1488,651,406,2545,1233,506,289,2028,620,259,121,1000
ALL,MONTGOMERY,Statewide,128736,21091,39159,188986,69295,10655,16718,96668,40442,6442,9142,56026
ALL,PRINCE GEORGE'S,Statewide,92172,6321,14991,113484,62502,3892,7671,74065,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2867,2274,1288,6429,2158,1664,867,4689,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5848,3913,2636,12397,4333,2684,1633,8650,2496,1487,838,4821
ALL,SOMERSET,Statewide,823,605,268,1696,621,417,171,1209,0,0,0,0
ALL,TALBOT,Statewide,3082,1639,1208,5929,2450,1226,820,4496,1800,901,572,3273
ALL,WASHINGTON,Statewide,7648,5305,3263,16216,5635,3936,2022,11593,3692,2597,1237,7526
ALL,WICOMICO,Statewide,5022,2755,1751,9528,3850,2112,1134,7096,1687,902,411,3000
ALL,WORCESTER,Statewide,3567,2798,1491,7856,2782,2090,980,5852,1214,886,398,2498
Civilian Overseas,ALLEGANY,Statewide,35,8,12,55,20,1,9,30,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1034,195,440,1669,506,85,213,804,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1223,266,433,1922,591,69,163,823,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1180,254,426,1860,522,90,172,784,113,20,45,178
Civilian Overseas,CALVERT,Statewide,95,28,49,172,41,11,25,77,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,6,0,3,9,2,0,0,2
Civilian Overseas,CARROLL,Statewide,151,39,51,241,89,20,31,140,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,17,20,98,27,10,12,49,0,0,0,0
Civilian Overseas,CHARLES,Statewide,124,26,56,206,60,19,19,98,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,14,3,1,18,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,430,75,142,647,203,29,68,300,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,3,6,19,0,1,0,1
Civilian Overseas,HARFORD,Statewide,218,53,105,376,135,34,51,220,29,10,15,54
Civilian Overseas,HOWARD,Statewide,824,84,290,1198,434,37,130,601,4,1,0,5
Civilian Overseas,KENT,Statewide,32,4,5,41,22,3,2,27,2,0,0,2
