CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2630,2495,969,6094,1812,1748,558,4118,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,48986,20395,20379,89760,30763,12509,10758,54030,25286,10297,8513,44096
ALL,BALTIMORE CITY,Statewide,58456,3989,8387,70832,27888,1609,2639,32136,20157,1145,1744,23046
ALL,BALTIMORE COUNTY,Statewide,77345,22847,20476,120668,44032,12903,9010,65945,32884,9596,6351,48831
ALL,CALVERT,Statewide,6617,4095,2790,13502,4258,2523,1468,8249,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1022,839,454,2315,685,562,268,1515,418,316,146,880
ALL,CARROLL,Statewide,9918,8067,4621,22606,6347,5017,2403,13767,3224,2518,1173,6915
ALL,CECIL,Statewide,4230,4022,2045,10297,2604,2378,1068,6050,0,0,0,0
ALL,CHARLES,Statewide,13955,3158,3268,20381,8130,1960,1552,11642,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1800,933,453,3186,1231,658,255,2144,0,0,0,0
ALL,FREDERICK,Statewide,22353,8873,8539,39765,12834,4893,4095,21822,9261,3496,2828,15585
ALL,GARRETT,Statewide,982,1320,383,2685,700,883,229,1812,260,338,77,675
ALL,HARFORD,Statewide,14280,9343,6250,29873,9050,5896,3258,18204,5057,3216,1723,9996
ALL,HOWARD,Statewide,33309,8047,12058,53414,19468,4552,5806,29826,13887,3185,3919,20991
ALL,KENT,Statewide,1477,647,402,2526,1105,430,237,1772,620,259,121,1000
ALL,MONTGOMERY,Statewide,123585,20043,36391,180019,61922,9509,14738,86169,26633,4284,6006,36923
ALL,PRINCE GEORGE'S,Statewide,87971,6018,13994,107983,50576,3183,5691,59450,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2820,2207,1240,6267,1881,1434,738,4053,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5713,3831,2531,12075,3632,2267,1315,7214,2496,1487,838,4821
ALL,SOMERSET,Statewide,810,584,257,1651,570,359,143,1072,0,0,0,0
ALL,TALBOT,Statewide,3037,1605,1176,5818,2150,1055,691,3896,1800,901,572,3273
ALL,WASHINGTON,Statewide,7510,5202,3137,15849,4805,3358,1692,9855,3692,2597,1237,7526
ALL,WICOMICO,Statewide,4972,2716,1726,9414,3351,1831,927,6109,1687,902,411,3000
ALL,WORCESTER,Statewide,3505,2729,1452,7686,2531,1881,847,5259,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,35,8,12,55,18,0,6,24,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1022,192,425,1639,433,68,181,682,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1202,260,422,1884,351,43,92,486,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1154,242,408,1804,480,84,164,728,113,20,45,178
Civilian Overseas,CALVERT,Statewide,91,26,48,165,34,10,21,65,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,6,0,0,6,2,0,0,2
Civilian Overseas,CARROLL,Statewide,149,37,51,237,76,18,27,121,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,16,19,96,21,8,11,40,0,0,0,0
Civilian Overseas,CHARLES,Statewide,119,25,50,194,45,18,15,78,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,23,8,4,35,11,3,1,15,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,419,73,138,630,164,28,46,238,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,3,5,18,0,1,0,1
Civilian Overseas,HARFORD,Statewide,216,49,99,364,118,27,44,189,29,10,15,54
Civilian Overseas,HOWARD,Statewide,795,79,274,1148,378,28,112,518,4,1,0,5
Civilian Overseas,KENT,Statewide,31,4,4,39,17,2,2,21,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5365,562,1846,7773,1595,111,433,2139,335,19,80,434
Civilian Overseas,PRINCE GEORGE'S,Statewide,993,95,345,1433,392,44,107,543,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,63,7,22,92,28,3,12,43,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,94,25,38,157,52,10,16,78,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,89,9,34,132,42,3,9,54,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,109,21,35,165,47,13,17,77,13,3,5,21
Civilian Overseas,WICOMICO,Statewide,67,10,17,94,39,3,6,48,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,22,91,35,6,8,49,12,1,6,19
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Domestic Civilian,ALLEGANY,Statewide,2591,2482,953,6026,1790,1746,551,4087,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,47571,19947,19649,87167,30186,12369,10500,53055,25286,10297,8513,44096
Domestic Civilian,BALTIMORE CITY,Statewide,57177,3711,7922,68810,27519,1563,2540,31622,19992,1129,1703,22824
Domestic Civilian,BALTIMORE COUNTY,Statewide,76073,22527,19987,118587,43511,12801,8823,65135,32749,9570,6294,48613
Domestic Civilian,CALVERT,Statewide,6475,4012,2704,13191,4206,2492,1435,8133,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1008,828,447,2283,678,555,266,1499,416,311,145,872
Domestic Civilian,CARROLL,Statewide,9745,7983,4532,22260,6263,4990,2364,13617,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4155,3983,2020,10158,2576,2357,1053,5986,0,0,0,0
Domestic Civilian,CHARLES,Statewide,13716,3076,3145,19937,8049,1922,1518,11489,4415,1101,774,6290
Domestic Civilian,DORCHESTER,Statewide,1772,924,444,3140,1219,654,253,2126,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,21855,8713,8336,38904,12641,4840,4025,21506,9209,3485,2804,15498
