CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2709,2561,1029,6299,2105,2030,685,4820,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,49785,20772,20946,91503,38367,15656,14259,68282,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,60550,4181,8972,73703,37062,2173,3944,43179,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,79930,23672,21690,125292,48400,14000,10126,72526,32884,9596,6351,48831
ALL,CALVERT,Statewide,6822,4246,2943,14011,5166,3140,1899,10205,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1053,860,471,2384,834,660,324,1818,418,316,146,880
ALL,CARROLL,Statewide,10195,8371,4888,23454,7714,6064,3070,16848,3224,2518,1173,6915
ALL,CECIL,Statewide,4359,4162,2147,10668,3267,3034,1399,7700,0,0,0,0
ALL,CHARLES,Statewide,14546,3252,3484,21282,10419,2401,2114,14934,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1852,963,472,3287,1395,738,298,2431,0,0,0,0
ALL,FREDERICK,Statewide,22985,9205,9039,41229,15935,6155,5269,27359,9261,3496,2828,15585
ALL,GARRETT,Statewide,999,1352,393,2744,807,1062,274,2143,260,338,77,675
ALL,HARFORD,Statewide,14740,9728,6588,31056,10479,6871,3984,21334,5057,3216,1723,9996
ALL,HOWARD,Statewide,34285,8327,12695,55307,24321,5650,7644,37615,13887,3185,3919,20991
ALL,KENT,Statewide,1489,652,406,2547,1233,506,289,2028,620,259,121,1000
ALL,MONTGOMERY,Statewide,129310,21204,39490,190004,80236,12281,19965,112482,40441,6442,9143,56026
ALL,PRINCE GEORGE'S,Statewide,92725,6360,15153,114238,65212,4067,8128,77407,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2875,2286,1298,6459,2236,1727,920,4883,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5873,3927,2660,12460,4441,2786,1702,8929,2496,1487,838,4821
ALL,SOMERSET,Statewide,825,608,270,1703,663,444,185,1292,0,0,0,0
ALL,TALBOT,Statewide,3086,1648,1213,5947,2532,1287,871,4690,1800,901,572,3273
