CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2715,2570,1038,6323,2199,2100,730,5029,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,49947,20862,21080,91889,39449,16133,14813,70395,32134,13183,11557,56874
ALL,BALTIMORE CITY,Statewide,60783,4208,9055,74046,38420,2232,4114,44766,20163,1145,1745,23053
ALL,BALTIMORE COUNTY,Statewide,80172,23742,21821,125735,48553,14039,10153,72745,32884,9596,6351,48831
ALL,CALVERT,Statewide,6848,4267,2961,14076,5354,3264,2001,10619,3549,2049,1168,6766
ALL,CAROLINE,Statewide,1064,874,482,2420,846,666,332,1844,418,316,146,880
ALL,CARROLL,Statewide,10227,8397,4916,23540,8069,6389,3277,17735,3224,2518,1173,6915
ALL,CECIL,Statewide,4359,4169,2153,10681,3309,3088,1428,7825,0,0,0,0
ALL,CHARLES,Statewide,14644,3263,3518,21425,10744,2454,2191,15389,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1858,970,476,3304,1550,817,343,2710,0,0,0,0
ALL,FREDERICK,Statewide,23069,9246,9117,41432,16157,6245,5382,27784,9261,3496,2828,15585
ALL,GARRETT,Statewide,1000,1359,394,2753,832,1094,281,2207,260,338,77,675
ALL,HARFORD,Statewide,14811,9778,6655,31244,11186,7332,4363,22881,5057,3216,1723,9996
ALL,HOWARD,Statewide,34406,8363,12778,55547,25287,5875,8032,39194,13887,3185,3919,20991
ALL,KENT,Statewide,1494,653,407,2554,1269,522,300,2091,620,259,121,1000
ALL,MONTGOMERY,Statewide,129830,21302,39761,190893,81329,12466,20340,114135,40440,6442,9142,56024
ALL,PRINCE GEORGE'S,Statewide,93257,6399,15320,114976,67566,4216,8568,80350,31901,1982,3144,37027
ALL,QUEEN ANNE'S,Statewide,2881,2300,1303,6484,2294,1773,954,5021,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5894,3949,2676,12519,4601,2890,1787,9278,2496,1487,838,4821
ALL,SOMERSET,Statewide,833,611,270,1714,674,451,186,1311,0,0,0,0
ALL,TALBOT,Statewide,3100,1656,1222,5978,2551,1298,878,4727,1800,901,572,3273
ALL,WASHINGTON,Statewide,7720,5366,3318,16404,5902,4087,2136,12125,5607,3910,2013,11530
ALL,WICOMICO,Statewide,5064,2775,1773,9612,4042,2229,1222,7493,1687,902,411,3000
ALL,WORCESTER,Statewide,3597,2834,1510,7941,2934,2202,1064,6200,1214,886,398,2498
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,20,2,10,32,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,1050,201,441,1692,629,112,268,1009,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1230,266,436,1932,597,72,163,832,163,15,36,214
Civilian Overseas,BALTIMORE COUNTY,Statewide,1185,255,431,1871,526,90,173,789,113,20,45,178
Civilian Overseas,CALVERT,Statewide,97,28,50,175,47,13,28,88,12,3,9,24
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,8,0,3,11,2,0,0,2
Civilian Overseas,CARROLL,Statewide,153,40,53,246,98,22,32,152,4,0,3,7
Civilian Overseas,CECIL,Statewide,61,17,21,99,34,11,12,57,0,0,0,0
Civilian Overseas,CHARLES,Statewide,126,26,56,208,64,19,24,107,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,24,8,4,36,15,4,1,20,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,434,76,144,654,223,31,72,326,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,6,13,37,10,4,7,21,0,1,0,1
Civilian Overseas,HARFORD,Statewide,220,55,107,382,142,34,55,231,29,10,15,54
Civilian Overseas,HOWARD,Statewide,832,86,293,1211,480,43,143,666,4,1,0,5
Civilian Overseas,KENT,Statewide,32,4,5,41,22,3,2,27,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5615,589,1961,8165,2348,166,691,3205,776,52,168,996
Civilian Overseas,PRINCE GEORGE'S,Statewide,1080,101,365,1546,575,53,163,791,44,7,11,62
Civilian Overseas,QUEEN ANNE'S,Statewide,69,8,23,100,37,3,13,53,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,96,28,39,163,62,14,22,98,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,2,7,1,0,0,1,0,0,0,0
Civilian Overseas,TALBOT,Statewide,93,9,36,138,49,4,15,68,32,2,6,40
Civilian Overseas,WASHINGTON,Statewide,111,21,36,168,55,15,24,94,29,9,9,47
Civilian Overseas,WICOMICO,Statewide,68,11,17,96,44,4,10,58,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,56,13,22,91,39,7,10,56,12,1,6,19
Domestic Civilian,ALLEGANY,Statewide,2676,2556,1022,6254,2175,2096,718,4989,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,48480,20376,20310,89166,38592,15883,14394,68869,32134,13183,11557,56874
Domestic Civilian,BALTIMORE CITY,Statewide,59468,3922,8576,71966,37793,2154,3939,43886,19998,1129,1704,22831
Domestic Civilian,BALTIMORE COUNTY,Statewide,78851,23392,21293,123536,47980,13930,9955,71865,32749,9570,6294,48613
Domestic Civilian,CALVERT,Statewide,6696,4172,2871,13739,5281,3221,1952,10454,3523,2033,1150,6706
Domestic Civilian,CAROLINE,Statewide,1048,863,473,2384,836,658,327,1821,416,311,145,872
Domestic Civilian,CARROLL,Statewide,10045,8300,4821,23166,7959,6348,3224,17531,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,4284,4126,2123,10533,3265,3061,1411,7737,0,0,0,0
