CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2456,2303,872,5631,2340,2206,806,5352
ALL,ANNE ARUNDEL,Statewide,50199,20967,21253,92419,45789,18612,18504,82905,44645,18157,18073,80875
ALL,BALTIMORE CITY,Statewide,61196,4251,9149,74596,50475,3048,6647,60170,40525,2369,4466,47360
ALL,BALTIMORE COUNTY,Statewide,80738,23927,22089,126754,70651,20114,17893,108658,63793,18280,15749,97822
ALL,CALVERT,Statewide,6881,4286,2993,14160,6277,3794,2531,12602,5854,3512,2250,11616
ALL,CAROLINE,Statewide,1072,882,486,2440,984,763,414,2161,933,724,382,2039
ALL,CARROLL,Statewide,10243,8428,4947,23618,9385,7432,4222,21039,8917,7085,3958,19960
ALL,CECIL,Statewide,4396,4210,2180,10786,3945,3673,1841,9459,2465,2297,1037,5799
ALL,CHARLES,Statewide,14726,3284,3558,21568,12958,2850,2876,18684,12588,2778,2754,18120
ALL,DORCHESTER,Statewide,1875,981,484,3340,1728,897,411,3036,1345,674,302,2321
ALL,FREDERICK,Statewide,23174,9305,9190,41669,20873,8022,7731,36626,20651,7949,7651,36251
ALL,GARRETT,Statewide,1003,1364,397,2764,920,1216,330,2466,871,1147,305,2323
ALL,HARFORD,Statewide,14876,9820,6696,31392,13329,8620,5689,27638,11230,7357,4395,22982
ALL,HOWARD,Statewide,34527,8392,12860,55779,30608,7158,10779,48545,27288,6460,9229,42977
ALL,KENT,Statewide,1508,659,414,2581,1376,575,350,2301,1185,498,288,1971
ALL,MONTGOMERY,Statewide,130466,21433,40083,191982,108455,16626,30256,155337,83587,12946,21828,118361
ALL,PRINCE GEORGE'S,Statewide,93862,6441,15495,115798,81309,5205,12176,98690,31945,1983,3148,37076
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2603,2007,1128,5738,2501,1910,1071,5482
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5323,3421,2294,11038,5226,3357,2228,10811
ALL,SOMERSET,Statewide,836,612,271,1719,742,514,220,1476,494,342,139,975
ALL,TALBOT,Statewide,3114,1666,1230,6010,2832,1488,1040,5360,2488,1290,868,4646
ALL,WASHINGTON,Statewide,7746,5393,3339,16478,6903,4663,2749,14315,6632,4491,2592,13715
ALL,WICOMICO,Statewide,5114,2809,1801,9724,4597,2493,1498,8588,4191,2273,1355,7819
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3254,2450,1267,6971,3021,2287,1137,6445
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,29,4,11,44,14,3,5,22
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,793,134,343,1270,785,132,340,1257
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,885,133,261,1279,648,86,183,917
