CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2504,2352,877,5733,1199,1178,364,2741,429,431,138,998
ALL,ANNE ARUNDEL,Statewide,46322,19096,18664,84082,20209,8172,6622,35003,2523,961,799,4283
ALL,BALTIMORE CITY,Statewide,54928,3638,7403,65969,15774,932,1351,18057,0,0,0,0
ALL,BALTIMORE COUNTY,Statewide,72905,21329,18561,112795,25915,7628,4957,38500,0,0,0,0
ALL,CALVERT,Statewide,6187,3808,2511,12506,2668,1512,851,5031,0,0,0,0
ALL,CAROLINE,Statewide,958,788,413,2159,447,357,164,968,418,316,146,880
ALL,CARROLL,Statewide,9464,7547,4230,21241,3919,2950,1404,8273,3224,2518,1173,6915
ALL,CECIL,Statewide,3954,3792,1851,9597,1674,1442,636,3752,0,0,0,0
ALL,CHARLES,Statewide,12806,2907,2915,18628,4804,1201,871,6876,4428,1112,785,6325
ALL,DORCHESTER,Statewide,1689,862,422,2973,779,381,153,1313,0,0,0,0
ALL,FREDERICK,Statewide,21080,8209,7691,36980,7660,2917,2377,12954,3543,1395,1059,5997
ALL,GARRETT,Statewide,932,1239,353,2524,502,612,145,1259,260,338,77,675
ALL,HARFORD,Statewide,13487,8708,5689,27884,5468,3470,1850,10788,5057,3216,1723,9996
ALL,HOWARD,Statewide,31547,7533,10948,50028,12341,2793,3435,18569,5372,1220,1406,7998
ALL,KENT,Statewide,1421,600,369,2390,806,313,152,1271,620,259,121,1000
ALL,MONTGOMERY,Statewide,115321,18243,32320,165884,36932,5990,8487,51409,0,0,0,0
ALL,PRINCE GEORGE'S,Statewide,81021,5482,12315,98818,32839,2089,3346,38274,0,0,0,0
ALL,QUEEN ANNE'S,Statewide,2671,2047,1137,5855,1195,932,470,2597,0,0,0,0
ALL,SAINT MARY'S,Statewide,5366,3534,2266,11166,2482,1472,834,4788,1579,911,508,2998
ALL,SOMERSET,Statewide,774,537,238,1549,424,244,100,768,0,0,0,0
ALL,TALBOT,Statewide,2856,1504,1092,5452,1390,664,425,2479,564,260,175,999
ALL,WASHINGTON,Statewide,7075,4864,2861,14800,3108,2162,1001,6271,2049,1317,631,3997
ALL,WICOMICO,Statewide,4621,2480,1546,8647,2338,1238,601,4177,1687,902,411,3000
ALL,WORCESTER,Statewide,3308,2521,1302,7131,1724,1224,525,3473,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,30,6,11,47,8,0,3,11,0,0,0,0
Civilian Overseas,ANNE ARUNDEL,Statewide,957,168,392,1517,254,34,99,387,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1116,239,361,1716,161,14,36,211,0,0,0,0
Civilian Overseas,BALTIMORE COUNTY,Statewide,1080,211,376,1667,222,26,70,318,0,0,0,0
Civilian Overseas,CALVERT,Statewide,81,23,42,146,11,4,12,27,0,0,0,0
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,4,0,0,4,2,0,0,2
Civilian Overseas,CARROLL,Statewide,140,35,46,221,35,8,10,53,4,0,3,7
Civilian Overseas,CECIL,Statewide,56,16,18,90,11,3,7,21,0,0,0,0
Civilian Overseas,CHARLES,Statewide,109,24,44,177,22,10,6,38,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,19,8,3,30,3,0,1,4,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,381,64,121,566,78,11,27,116,0,0,0,0
Civilian Overseas,GARRETT,Statewide,17,5,13,35,4,2,2,8,0,1,0,1
Civilian Overseas,HARFORD,Statewide,204,46,85,335,44,11,19,74,29,10,15,54
Civilian Overseas,HOWARD,Statewide,755,73,244,1072,190,13,50,253,4,1,0,5
Civilian Overseas,KENT,Statewide,28,1,3,32,9,0,2,11,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,4855,488,1599,6942,809,40,186,1035,0,0,0,0
Civilian Overseas,PRINCE GEORGE'S,Statewide,873,86,300,1259,184,16,50,250,0,0,0,0
Civilian Overseas,QUEEN ANNE'S,Statewide,54,7,20,81,14,0,8,22,0,0,0,0
Civilian Overseas,SAINT MARY'S,Statewide,88,24,33,145,34,7,14,55,18,4,6,28
Civilian Overseas,SOMERSET,Statewide,5,0,0,5,0,0,0,0,0,0,0,0
Civilian Overseas,TALBOT,Statewide,83,9,33,125,22,0,2,24,4,0,0,4
Civilian Overseas,WASHINGTON,Statewide,102,18,35,155,21,5,9,35,6,0,1,7
Civilian Overseas,WICOMICO,Statewide,67,8,17,92,23,2,2,27,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,50,10,18,78,20,3,7,30,12,1,6,19
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Domestic Civilian,ALLEGANY,Statewide,2470,2342,863,5675,1187,1178,361,2726,429,431,138,998
Domestic Civilian,ANNE ARUNDEL,Statewide,45027,18717,18021,81765,19867,8096,6479,34442,2523,961,799,4283
Domestic Civilian,BALTIMORE CITY,Statewide,53741,3384,7008,64133,15611,917,1310,17838,0,0,0,0
Domestic Civilian,BALTIMORE COUNTY,Statewide,71728,21058,18120,110906,25676,7595,4881,38152,0,0,0,0
Domestic Civilian,CALVERT,Statewide,6064,3741,2436,12241,2647,1502,835,4984,0,0,0,0
Domestic Civilian,CAROLINE,Statewide,945,780,406,2131,443,351,163,957,416,311,145,872
Domestic Civilian,CARROLL,Statewide,9301,7477,4151,20929,3881,2939,1392,8212,3219,2518,1170,6907
Domestic Civilian,CECIL,Statewide,3884,3755,1828,9467,1658,1431,628,3717,0,0,0,0
Domestic Civilian,CHARLES,Statewide,12603,2838,2814,18255,4769,1180,857,6806,4398,1095,772,6265
Domestic Civilian,DORCHESTER,Statewide,1666,853,416,2935,775,381,152,1308,0,0,0,0
Domestic Civilian,FREDERICK,Statewide,20634,8080,7521,36235,7571,2895,2332,12798,3543,1395,1059,5997
Domestic Civilian,GARRETT,Statewide,914,1228,338,2480,498,609,142,1249,260,336,76,672
Domestic Civilian,HARFORD,Statewide,13235,8584,5547,27366,5414,3445,1820,10679,5019,3192,1699,9910
Domestic Civilian,HOWARD,Statewide,30666,7413,10636,48715,12127,2770,3377,18274,5368,1219,1406,7993
Domestic Civilian,KENT,Statewide,1390,598,362,2350,797,313,150,1260,618,259,121,998
Domestic Civilian,MONTGOMERY,Statewide,110172,17653,30507,158332,36069,5936,8275,50280,0,0,0,0
Domestic Civilian,PRINCE GEORGE'S,Statewide,79844,5336,11873,97053,32603,2059,3278,37940,0,0,0,0
Domestic Civilian,QUEEN ANNE'S,Statewide,2604,2022,1108,5734,1178,929,458,2565,0,0,0,0
Domestic Civilian,SAINT MARY'S,Statewide,5221,3451,2191,10863,2428,1451,806,4685,1545,900,495,2940
Domestic Civilian,SOMERSET,Statewide,767,534,237,1538,422,244,100,766,0,0,0,0
