CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
ALL,ALLEGANY,Statewide,2160,1928,0,4088,732,746,0,1478
ALL,ANNE ARUNDEL,Statewide,37670,15463,6180,59313,5411,2694,296,8401
ALL,BALTIMORE CITY,Statewide,46416,2784,0,49200,5574,350,0,5924
ALL,BALTIMORE COUNTY,Statewide,59896,17437,0,77333,9820,3220,0,13040
ALL,CALVERT,Statewide,5153,3105,1604,9862,1333,991,266,2590
ALL,CAROLINE,Statewide,823,653,0,1476,251,220,0,471
ALL,CARROLL,Statewide,7701,6032,0,13733,1882,1932,0,3814
ALL,CECIL,Statewide,3150,3057,0,6207,953,1018,0,1971
ALL,CHARLES,Statewide,9973,2288,1665,13926,2216,696,180,3092
ALL,DORCHESTER,Statewide,1478,734,113,2325,449,264,25,738
ALL,FREDERICK,Statewide,16953,6637,4070,27660,2492,1306,314,4112
ALL,GARRETT,Statewide,778,1030,0,1808,304,407,0,711
ALL,HARFORD,Statewide,10954,7061,0,18015,2940,2351,0,5291
ALL,HOWARD,Statewide,24964,5955,3877,34796,3589,1252,401,5242
ALL,KENT,Statewide,1233,520,0,1753,444,231,0,675
ALL,MONTGOMERY,Statewide,92470,14243,17265,123978,7963,1536,764,10263
ALL,PRINCE GEORGE'S,Statewide,65419,4186,3789,73394,11369,1026,291,12686
ALL,QUEEN ANNE'S,Statewide,2156,1613,0,3769,727,606,0,1333
ALL,SAINT MARY'S,Statewide,4399,2830,1194,8423,1275,974,170,2419
ALL,SOMERSET,Statewide,660,449,0,1109,232,161,0,393
ALL,TALBOT,Statewide,2393,1212,110,3715,774,455,11,1240
ALL,WASHINGTON,Statewide,5901,4017,1793,11711,1767,1415,269,3451
ALL,WICOMICO,Statewide,3809,2068,0,5877,1252,851,0,2103
ALL,WORCESTER,Statewide,2813,2016,181,5010,1019,833,44,1896
CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Civilian Overseas,ALLEGANY,Statewide,15,0,0,15,1,0,0,1
Civilian Overseas,ANNE ARUNDEL,Statewide,307,69,41,417,11,0,1,12
Civilian Overseas,BALTIMORE CITY,Statewide,360,48,0,408,5,0,0,5
Civilian Overseas,BALTIMORE COUNTY,Statewide,333,62,0,395,23,8,0,31
Civilian Overseas,CALVERT,Statewide,27,5,9,41,2,0,0,2
Civilian Overseas,CAROLINE,Statewide,6,0,0,6,0,0,0,0
Civilian Overseas,CARROLL,Statewide,35,14,0,49,5,1,0,6
Civilian Overseas,CECIL,Statewide,17,7,0,24,0,0,0,0
Civilian Overseas,CHARLES,Statewide,26,3,1,30,5,0,0,5
Civilian Overseas,DORCHESTER,Statewide,8,3,0,11,2,0,0,2
Civilian Overseas,FREDERICK,Statewide,122,27,13,162,11,0,0,11
Civilian Overseas,GARRETT,Statewide,5,2,0,7,0,0,0,0
Civilian Overseas,HARFORD,Statewide,60,20,0,80,5,2,0,7
Civilian Overseas,HOWARD,Statewide,273,31,14,318,18,4,0,22
Civilian Overseas,KENT,Statewide,11,1,0,12,1,0,0,1
Civilian Overseas,MONTGOMERY,Statewide,1851,201,173,2225,50,6,5,61
Civilian Overseas,PRINCE GEORGE'S,Statewide,301,32,17,350,23,2,0,25
Civilian Overseas,QUEEN ANNE'S,Statewide,28,3,0,31,1,1,0,2
Civilian Overseas,SAINT MARY'S,Statewide,29,11,3,43,0,1,0,1
Civilian Overseas,SOMERSET,Statewide,5,0,0,5,0,0,0,0
Civilian Overseas,TALBOT,Statewide,19,5,1,25,2,0,0,2
Civilian Overseas,WASHINGTON,Statewide,30,4,4,38,3,1,0,4
Civilian Overseas,WICOMICO,Statewide,28,8,0,36,3,0,0,3
Civilian Overseas,WORCESTER,Statewide,20,2,0,22,1,1,0,2
CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Domestic Civilian,ALLEGANY,Statewide,2142,1928,0,4070,730,746,0,1476
Domestic Civilian,ANNE ARUNDEL,Statewide,37239,15313,6090,58642,5381,2674,294,8349
Domestic Civilian,BALTIMORE CITY,Statewide,46030,2728,0,48758,5565,350,0,5915
Domestic Civilian,BALTIMORE COUNTY,Statewide,59526,17355,0,76881,9791,3208,0,12999
Domestic Civilian,CALVERT,Statewide,5106,3086,1585,9777,1329,990,266,2585
Domestic Civilian,CAROLINE,Statewide,817,647,0,1464,251,219,0,470
Domestic Civilian,CARROLL,Statewide,7656,6009,0,13665,1877,1929,0,3806
Domestic Civilian,CECIL,Statewide,3130,3044,0,6174,951,1015,0,1966
Domestic Civilian,CHARLES,Statewide,9916,2267,1648,13831,2208,690,178,3076
Domestic Civilian,DORCHESTER,Statewide,1470,731,113,2314,447,264,25,736
Domestic Civilian,FREDERICK,Statewide,16812,6588,4036,27436,2480,1301,314,4095
Domestic Civilian,GARRETT,Statewide,772,1026,0,1798,304,406,0,710
Domestic Civilian,HARFORD,Statewide,10882,7019,0,17901,2931,2343,0,5274
Domestic Civilian,HOWARD,Statewide,24642,5902,3848,34392,3569,1244,399,5212
Domestic Civilian,KENT,Statewide,1221,519,0,1740,443,231,0,674
