CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Domestic Civilian,MONTGOMERY,Statewide,90520,14008,17035,121563,7907,1526,757,10190
Domestic Civilian,PRINCE GEORGE'S,Statewide,65032,4127,3748,72907,11340,1020,291,12651
Domestic Civilian,QUEEN ANNE'S,Statewide,2125,1607,0,3732,725,605,0,1330
Domestic Civilian,SAINT MARY'S,Statewide,4354,2787,1175,8316,1274,969,168,2411
Domestic Civilian,SOMERSET,Statewide,655,449,0,1104,232,161,0,393
Domestic Civilian,TALBOT,Statewide,2373,1205,109,3687,772,454,11,1237
Domestic Civilian,WASHINGTON,Statewide,5863,4001,1786,11650,1761,1411,269,3441
Domestic Civilian,WICOMICO,Statewide,3779,2056,0,5835,1249,851,0,2100
Domestic Civilian,WORCESTER,Statewide,2791,2008,181,4980,1018,832,44,1894
CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Military Overseas,ALLEGANY,Statewide,1,0,0,1,1,0,0,1
Military Overseas,ANNE ARUNDEL,Statewide,25,12,10,47,7,0,0,7
Military Overseas,BALTIMORE CITY,Statewide,4,2,0,6,1,0,0,1
Military Overseas,BALTIMORE COUNTY,Statewide,6,7,0,13,0,1,0,1
Military Overseas,CALVERT,Statewide,3,4,2,9,1,0,0,1
Military Overseas,CAROLINE,Statewide,0,3,0,3,0,1,0,1
Military Overseas,CARROLL,Statewide,1,4,0,5,0,2,0,2
Military Overseas,CECIL,Statewide,1,3,0,4,1,2,0,3
Military Overseas,CHARLES,Statewide,6,5,4,15,1,1,0,2
Military Overseas,DORCHESTER,Statewide,0,0,0,0,0,0,0,0
Military Overseas,FREDERICK,Statewide,2,6,6,14,0,2,0,2
Military Overseas,GARRETT,Statewide,0,0,0,0,0,0,0,0
Military Overseas,HARFORD,Statewide,4,6,0,10,2,1,0,3
Military Overseas,HOWARD,Statewide,8,10,4,22,0,1,0,1
Military Overseas,KENT,Statewide,0,0,0,0,0,0,0,0
Military Overseas,MONTGOMERY,Statewide,19,3,12,34,0,0,1,1
Military Overseas,PRINCE GEORGE'S,Statewide,14,4,2,20,1,0,0,1
Military Overseas,QUEEN ANNE'S,Statewide,0,2,0,2,0,0,0,0
Military Overseas,SAINT MARY'S,Statewide,3,3,4,10,0,0,0,0
Military Overseas,SOMERSET,Statewide,0,0,0,0,0,0,0,0
Military Overseas,TALBOT,Statewide,0,1,0,1,0,0,0,0
Military Overseas,WASHINGTON,Statewide,1,3,2,6,0,1,0,1
Military Overseas,WICOMICO,Statewide,1,3,0,4,0,0,0,0
Military Overseas,WORCESTER,Statewide,1,2,0,3,0,0,0,0
CATEGORY,COUNTY NAME,DISTRICT,DEM_SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED
Military US,ALLEGANY,Statewide,2,0,0,2,0,0,0,0
Military US,ANNE ARUNDEL,Statewide,99,69,39,207,12,20,1,33
Military US,BALTIMORE CITY,Statewide,22,6,0,28,3,0,0,3
Military US,BALTIMORE COUNTY,Statewide,31,13,0,44,6,3,0,9
Military US,CALVERT,Statewide,17,10,8,35,1,1,0,2
Military US,CAROLINE,Statewide,0,3,0,3,0,0,0,0
Military US,CARROLL,Statewide,9,5,0,14,0,0,0,0
Military US,CECIL,Statewide,2,3,0,5,1,1,0,2
Military US,CHARLES,Statewide,25,13,12,50,2,5,2,9
Military US,DORCHESTER,Statewide,0,0,0,0,0,0,0,0
Military US,FREDERICK,Statewide,17,16,15,48,1,3,0,4
Military US,GARRETT,Statewide,1,2,0,3,0,1,0,1
Military US,HARFORD,Statewide,8,16,0,24,2,5,0,7
Military US,HOWARD,Statewide,41,12,11,64,2,3,2,7
Military US,KENT,Statewide,1,0,0,1,0,0,0,0
Military US,MONTGOMERY,Statewide,80,31,45,156,6,4,1,11
Military US,PRINCE GEORGE'S,Statewide,72,23,22,117,5,4,0,9
Military US,QUEEN ANNE'S,Statewide,3,1,0,4,1,0,0,1
Military US,SAINT MARY'S,Statewide,13,29,12,54,1,4,2,7
Military US,SOMERSET,Statewide,0,0,0,0,0,0,0,0
Military US,TALBOT,Statewide,1,1,0,2,0,1,0,1
Military US,WASHINGTON,Statewide,7,9,1,17,3,2,0,5
Military US,WICOMICO,Statewide,1,1,0,2,0,0,0,0
Military US,WORCESTER,Statewide,1,4,0,5,0,0,0,0
CATEGORY,COUNTY NAME,DISTRICT,,,,,,REP RECEIVED,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 006,,,,,,0,,
Civilian Overseas,ANNE ARUNDEL,Councilmanic District Code 007,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 006,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 007,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 008,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 009,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 010,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 011,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 012,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 013,,,,,,0,,
Civilian Overseas,BALTIMORE CITY,Councilmanic District Code 014,,,,,,0,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 002,,,,,,3,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 003,,,,,,1,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 004,,,,,,1,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 005,,,,,,1,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 006,,,,,,1,,
Civilian Overseas,BALTIMORE COUNTY,Councilmanic District Code 007,,,,,,1,,
Civilian Overseas,CECIL,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,CECIL,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,CECIL,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,CECIL,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,CECIL,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,DORCHESTER,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,DORCHESTER,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,DORCHESTER,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,DORCHESTER,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,DORCHESTER,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,FREDERICK,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,FREDERICK,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,FREDERICK,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,FREDERICK,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,FREDERICK,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,HARFORD,Councilmanic District Code A,,,,,,0,,
Civilian Overseas,HARFORD,Councilmanic District Code B,,,,,,0,,
Civilian Overseas,HARFORD,Councilmanic District Code C,,,,,,0,,
Civilian Overseas,HARFORD,Councilmanic District Code D,,,,,,2,,
Civilian Overseas,HARFORD,Councilmanic District Code E,,,,,,0,,
Civilian Overseas,HARFORD,Councilmanic District Code F,,,,,,0,,
Civilian Overseas,HOWARD,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,HOWARD,Councilmanic District Code 002,,,,,,1,,
Civilian Overseas,HOWARD,Councilmanic District Code 003,,,,,,2,,
Civilian Overseas,HOWARD,Councilmanic District Code 004,,,,,,1,,
Civilian Overseas,HOWARD,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 001,,,,,,1,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 003,,,,,,1,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 004,,,,,,2,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 006,,,,,,1,,
Civilian Overseas,MONTGOMERY,Councilmanic District Code 007,,,,,,1,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 001,,,,,,2,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 006,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 007,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 008,,,,,,0,,
Civilian Overseas,PRINCE GEORGE'S,Councilmanic District Code 009,,,,,,0,,
Civilian Overseas,TALBOT,Councilmanic District Code 000,,,,,,0,,
Civilian Overseas,WICOMICO,Councilmanic District Code 001,,,,,,0,,
Civilian Overseas,WICOMICO,Councilmanic District Code 002,,,,,,0,,
Civilian Overseas,WICOMICO,Councilmanic District Code 003,,,,,,0,,
Civilian Overseas,WICOMICO,Councilmanic District Code 004,,,,,,0,,
Civilian Overseas,WICOMICO,Councilmanic District Code 005,,,,,,0,,
Civilian Overseas Total,,,,,,,,22,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 001,,,,,,218,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 002,,,,,,282,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 003,,,,,,382,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 004,,,,,,265,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 005,,,,,,479,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 006,,,,,,540,,
Domestic Civilian,ANNE ARUNDEL,Councilmanic District Code 007,,,,,,508,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 001,,,,,,31,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 002,,,,,,20,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 003,,,,,,31,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 004,,,,,,31,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 005,,,,,,48,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 006,,,,,,13,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 007,,,,,,17,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 008,,,,,,13,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 009,,,,,,22,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 010,,,,,,22,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 011,,,,,,46,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 012,,,,,,14,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 013,,,,,,20,,
Domestic Civilian,BALTIMORE CITY,Councilmanic District Code 014,,,,,,22,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 001,,,,,,339,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 002,,,,,,397,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 003,,,,,,890,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 004,,,,,,218,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 005,,,,,,651,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 006,,,,,,394,,
Domestic Civilian,BALTIMORE COUNTY,Councilmanic District Code 007,,,,,,319,,
Domestic Civilian,CECIL,Councilmanic District Code 001,,,,,,177,,
Domestic Civilian,CECIL,Councilmanic District Code 002,,,,,,136,,
Domestic Civilian,CECIL,Councilmanic District Code 003,,,,,,223,,
Domestic Civilian,CECIL,Councilmanic District Code 004,,,,,,216,,
Domestic Civilian,CECIL,Councilmanic District Code 005,,,,,,263,,
Domestic Civilian,DORCHESTER,Councilmanic District Code 001,,,,,,60,,
Domestic Civilian,DORCHESTER,Councilmanic District Code 002,,,,,,15,,
Domestic Civilian,DORCHESTER,Councilmanic District Code 003,,,,,,71,,
Domestic Civilian,DORCHESTER,Councilmanic District Code 004,,,,,,72,,
Domestic Civilian,DORCHESTER,Councilmanic District Code 005,,,,,,46,,
Domestic Civilian,FREDERICK,Councilmanic District Code 001,,,,,,299,,
Domestic Civilian,FREDERICK,Councilmanic District Code 002,,,,,,244,,
Domestic Civilian,FREDERICK,Councilmanic District Code 003,,,,,,235,,
Domestic Civilian,FREDERICK,Councilmanic District Code 004,,,,,,260,,
Domestic Civilian,FREDERICK,Councilmanic District Code 005,,,,,,263,,
Domestic Civilian,HARFORD,Councilmanic District Code A,,,,,,173,,
Domestic Civilian,HARFORD,Councilmanic District Code B,,,,,,462,,
Domestic Civilian,HARFORD,Councilmanic District Code C,,,,,,532,,
Domestic Civilian,HARFORD,Councilmanic District Code D,,,,,,466,,
Domestic Civilian,HARFORD,Councilmanic District Code E,,,,,,352,,
Domestic Civilian,HARFORD,Councilmanic District Code F,,,,,,358,,
Domestic Civilian,HOWARD,Councilmanic District Code 001,,,,,,253,,
Domestic Civilian,HOWARD,Councilmanic District Code 002,,,,,,199,,
Domestic Civilian,HOWARD,Councilmanic District Code 003,,,,,,157,,
Domestic Civilian,HOWARD,Councilmanic District Code 004,,,,,,225,,
Domestic Civilian,HOWARD,Councilmanic District Code 005,,,,,,410,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 001,,,,,,299,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 002,,,,,,201,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 003,,,,,,231,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 004,,,,,,168,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 005,,,,,,211,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 006,,,,,,165,,
Domestic Civilian,MONTGOMERY,Councilmanic District Code 007,,,,,,251,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 001,,,,,,168,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 002,,,,,,72,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 003,,,,,,94,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 004,,,,,,263,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 005,,,,,,60,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 006,,,,,,66,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 007,,,,,,30,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 008,,,,,,107,,
Domestic Civilian,PRINCE GEORGE'S,Councilmanic District Code 009,,,,,,160,,
Domestic Civilian,TALBOT,Councilmanic District Code 000,,,,,,454,,
Domestic Civilian,WICOMICO,Councilmanic District Code 001,,,,,,72,,
Domestic Civilian,WICOMICO,Councilmanic District Code 002,,,,,,244,,
Domestic Civilian,WICOMICO,Councilmanic District Code 003,,,,,,234,,
Domestic Civilian,WICOMICO,Councilmanic District Code 004,,,,,,131,,
Domestic Civilian,WICOMICO,Councilmanic District Code 005,,,,,,170,,
Domestic Civilian Total,,,,,,,,16250,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 001,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 002,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 003,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 004,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 005,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 006,,,,,,0,,
Military Overseas,ANNE ARUNDEL,Councilmanic District Code 007,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 001,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 002,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 003,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 004,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 005,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 006,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 007,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 008,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 009,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 010,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 011,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 012,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 013,,,,,,0,,
Military Overseas,BALTIMORE CITY,Councilmanic District Code 014,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 001,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 002,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 003,,,,,,1,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 004,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 005,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 006,,,,,,0,,
Military Overseas,BALTIMORE COUNTY,Councilmanic District Code 007,,,,,,0,,
Military Overseas,CECIL,Councilmanic District Code 001,,,,,,2,,
Military Overseas,CECIL,Councilmanic District Code 002,,,,,,0,,
Military Overseas,CECIL,Councilmanic District Code 003,,,,,,0,,
Military Overseas,CECIL,Councilmanic District Code 004,,,,,,0,,
Military Overseas,CECIL,Councilmanic District Code 005,,,,,,0,,
Military Overseas,DORCHESTER,Councilmanic District Code 001,,,,,,0,,
Military Overseas,DORCHESTER,Councilmanic District Code 002,,,,,,0,,
Military Overseas,DORCHESTER,Councilmanic District Code 003,,,,,,0,,
Military Overseas,DORCHESTER,Councilmanic District Code 004,,,,,,0,,
Military Overseas,DORCHESTER,Councilmanic District Code 005,,,,,,0,,
Military Overseas,FREDERICK,Councilmanic District Code 001,,,,,,1,,
Military Overseas,FREDERICK,Councilmanic District Code 002,,,,,,0,,
Military Overseas,FREDERICK,Councilmanic District Code 003,,,,,,0,,
Military Overseas,FREDERICK,Councilmanic District Code 004,,,,,,0,,
Military Overseas,FREDERICK,Councilmanic District Code 005,,,,,,1,,
Military Overseas,HARFORD,Councilmanic District Code A,,,,,,0,,
Military Overseas,HARFORD,Councilmanic District Code B,,,,,,0,,
Military Overseas,HARFORD,Councilmanic District Code C,,,,,,0,,
Military Overseas,HARFORD,Councilmanic District Code D,,,,,,0,,
Military Overseas,HARFORD,Councilmanic District Code E,,,,,,0,,
Military Overseas,HARFORD,Councilmanic District Code F,,,,,,1,,
Military Overseas,HOWARD,Councilmanic District Code 001,,,,,,0,,
Military Overseas,HOWARD,Councilmanic District Code 002,,,,,,0,,
Military Overseas,HOWARD,Councilmanic District Code 003,,,,,,0,,
Military Overseas,HOWARD,Councilmanic District Code 004,,,,,,0,,
Military Overseas,HOWARD,Councilmanic District Code 005,,,,,,1,,
Military Overseas,MONTGOMERY,Councilmanic District Code 001,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 002,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 003,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 004,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 005,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 006,,,,,,0,,
Military Overseas,MONTGOMERY,Councilmanic District Code 007,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 001,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 002,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 003,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 004,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 005,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 006,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 007,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 008,,,,,,0,,
Military Overseas,PRINCE GEORGE'S,Councilmanic District Code 009,,,,,,0,,
Military Overseas,TALBOT,Councilmanic District Code 000,,,,,,0,,
Military Overseas,WICOMICO,Councilmanic District Code 001,,,,,,0,,
Military Overseas,WICOMICO,Councilmanic District Code 002,,,,,,0,,
Military Overseas,WICOMICO,Councilmanic District Code 003,,,,,,0,,
Military Overseas,WICOMICO,Councilmanic District Code 004,,,,,,0,,
Military Overseas,WICOMICO,Councilmanic District Code 005,,,,,,0,,
Military Overseas Total,,,,,,,,7,,
