CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2520,2377,891,5788,1469,1444,441,3354,1314,1303,380,2997
ALL,ANNE ARUNDEL,Statewide,47016,19464,19089,85569,23399,9352,7745,40496,14202,5683,4552,24437
ALL,BALTIMORE CITY,Statewide,55549,3723,7627,66899,21200,1205,1838,24243,13148,780,1096,15024
ALL,BALTIMORE COUNTY,Statewide,73695,21600,18927,114222,32375,9427,6198,48000,12798,3908,2394,19100
ALL,CALVERT,Statewide,6263,3861,2552,12676,3297,1875,1072,6244,1937,1112,646,3695
ALL,CAROLINE,Statewide,980,806,426,2212,542,436,209,1187,418,316,146,880
ALL,CARROLL,Statewide,9590,7689,4330,21609,4892,3773,1768,10433,3224,2518,1173,6915
ALL,CECIL,Statewide,4006,3848,1888,9742,2007,1783,785,4575,0,0,0,0
ALL,CHARLES,Statewide,13080,2969,3015,19064,6242,1517,1142,8901,4445,1118,787,6350
ALL,DORCHESTER,Statewide,1725,884,430,3039,1002,506,192,1700,0,0,0,0
ALL,FREDERICK,Statewide,21331,8348,7875,37554,9634,3606,2969,16209,9261,3496,2828,15585
ALL,GARRETT,Statewide,951,1269,362,2582,561,690,166,1417,260,338,77,675
ALL,HARFORD,Statewide,13688,8882,5831,28401,6922,4472,2375,13769,5057,3216,1723,9996
ALL,HOWARD,Statewide,31944,7668,11168,50780,14985,3429,4278,22692,5372,1220,1406,7998
ALL,KENT,Statewide,1434,623,378,2435,917,348,181,1446,620,259,121,1000
ALL,MONTGOMERY,Statewide,117272,18680,33208,169160,46643,7363,10745,64751,13698,2161,3040,18899
ALL,PRINCE GEORGE'S,Statewide,82129,5588,12552,100269,39234,2485,4139,45858,0,0,0,0
ALL,QUEEN ANNE'S,Statewide,2724,2105,1164,5993,1446,1119,558,3123,473,380,172,1025
ALL,SAINT MARY'S,Statewide,5431,3607,2316,11354,2885,1734,970,5589,2496,1487,838,4821
ALL,SOMERSET,Statewide,782,549,247,1578,485,281,110,876,0,0,0,0
ALL,TALBOT,Statewide,2921,1539,1127,5587,1702,814,533,3049,1114,542,343,1999
ALL,WASHINGTON,Statewide,7198,4918,2935,15051,3802,2682,1289,7773,2049,1317,631,3997
ALL,WICOMICO,Statewide,4687,2525,1573,8785,2708,1457,718,4883,1687,902,411,3000
ALL,WORCESTER,Statewide,3349,2567,1346,7262,2048,1465,658,4171,1214,886,398,2498
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,34,6,12,52,10,0,4,14,7,0,3,10
Civilian Overseas,ANNE ARUNDEL,Statewide,966,175,399,1540,315,46,135,496,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1167,253,398,1818,170,16,36,222,128,12,24,164
Civilian Overseas,BALTIMORE COUNTY,Statewide,1114,237,397,1748,267,31,85,383,20,4,11,35
Civilian Overseas,CALVERT,Statewide,86,23,44,153,19,4,14,37,3,1,4,8
Civilian Overseas,CAROLINE,Statewide,12,1,4,17,4,0,0,4,2,0,0,2
Civilian Overseas,CARROLL,Statewide,142,35,48,225,50,10,15,75,4,0,3,7
Civilian Overseas,CECIL,Statewide,58,16,18,92,15,4,9,28,0,0,0,0
Civilian Overseas,CHARLES,Statewide,112,25,49,186,35,15,10,60,20,7,6,33
Civilian Overseas,DORCHESTER,Statewide,23,8,3,34,7,3,1,11,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,391,65,126,582,122,17,34,173,46,8,16,70
Civilian Overseas,GARRETT,Statewide,18,5,13,36,4,3,3,10,0,1,0,1
Civilian Overseas,HARFORD,Statewide,209,48,89,346,75,20,29,124,29,10,15,54
Civilian Overseas,HOWARD,Statewide,773,73,252,1098,231,15,61,307,4,1,0,5
Civilian Overseas,KENT,Statewide,28,4,3,35,12,2,2,16,2,0,0,2
Civilian Overseas,MONTGOMERY,Statewide,5009,513,1672,7194,945,52,227,1224,109,4,22,135
Civilian Overseas,PRINCE GEORGE'S,Statewide,921,90,314,1325,257,30,73,360,0,0,0,0
Civilian Overseas,QUEEN ANNE'S,Statewide,58,7,20,85,21,2,10,33,12,0,3,15
Civilian Overseas,SAINT MARY'S,Statewide,89,24,35,148,42,9,15,66,34,7,14,55
Civilian Overseas,SOMERSET,Statewide,5,0,1,6,0,0,0,0,0,0,0,0
Civilian Overseas,TALBOT,Statewide,84,9,33,126,31,2,5,38,12,0,1,13
Civilian Overseas,WASHINGTON,Statewide,107,20,35,162,33,6,14,53,6,0,1,7
Civilian Overseas,WICOMICO,Statewide,67,9,17,93,30,1,4,35,2,0,0,2
Civilian Overseas,WORCESTER,Statewide,52,12,22,86,26,3,7,36,12,1,6,19
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Domestic Civilian,ALLEGANY,Statewide,2482,2367,876,5725,1455,1443,437,3335,1303,1303,377,2983
Domestic Civilian,ANNE ARUNDEL,Statewide,45698,19059,18424,83181,22975,9258,7553,39786,14202,5683,4552,24437
