CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2456,2303,872,5631,2340,2206,806,5352
ALL,ANNE ARUNDEL,Statewide,50198,20968,21253,92419,45897,18648,18565,83110,44645,18157,18073,80875
ALL,BALTIMORE CITY,Statewide,61195,4251,9147,74593,51430,3118,6841,61389,40525,2369,4466,47360
ALL,BALTIMORE COUNTY,Statewide,80738,23927,22088,126753,70844,20152,17963,108959,63793,18280,15749,97822
ALL,CALVERT,Statewide,6881,4286,2993,14160,6277,3795,2532,12604,6101,3667,2387,12155
ALL,CAROLINE,Statewide,1072,882,486,2440,985,764,415,2164,953,740,391,2084
ALL,CARROLL,Statewide,10243,8428,4947,23618,9393,7435,4224,21052,9224,7353,4146,20723
ALL,CECIL,Statewide,4396,4210,2180,10786,3945,3673,1841,9459,3266,2999,1433,7698
ALL,CHARLES,Statewide,14726,3284,3558,21568,12958,2850,2876,18684,12588,2778,2754,18120
ALL,DORCHESTER,Statewide,1875,981,484,3340,1728,898,411,3037,1665,857,383,2905
ALL,FREDERICK,Statewide,23174,9305,9190,41669,20932,8049,7767,36748,20651,7949,7651,36251
ALL,GARRETT,Statewide,1003,1364,397,2764,920,1217,330,2467,908,1194,318,2420
ALL,HARFORD,Statewide,14876,9820,6696,31392,13332,8620,5692,27644,11230,7357,4395,22982
ALL,HOWARD,Statewide,34527,8392,12860,55779,30706,7177,10844,48727,27288,6460,9229,42977
ALL,KENT,Statewide,1508,659,414,2581,1376,575,350,2301,1185,498,288,1971
ALL,MONTGOMERY,Statewide,130465,21433,40083,191981,109859,16867,30826,157552,83587,12946,21828,118361
ALL,PRINCE GEORGE'S,Statewide,93862,6441,15495,115798,81461,5215,12220,98896,54007,3312,6148,63467
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2603,2007,1128,5738,2525,1931,1081,5537
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5323,3421,2294,11038,5226,3357,2228,10811
ALL,SOMERSET,Statewide,836,612,271,1719,745,518,221,1484,494,342,139,975
ALL,TALBOT,Statewide,3114,1666,1230,6010,2832,1488,1040,5360,2488,1290,868,4646
