CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2724,2584,1045,6353,2459,2303,872,5634,2426,2278,861,5565
ALL,ANNE ARUNDEL,Statewide,50198,20967,21253,92418,45930,18658,18576,83164,45242,18375,18232,81849
ALL,BALTIMORE CITY,Statewide,61195,4251,9147,74593,51567,3138,6889,61594,40525,2369,4466,47360
ALL,BALTIMORE COUNTY,Statewide,80738,23927,22088,126753,70886,20167,17988,109041,65945,18851,16236,101032
ALL,CALVERT,Statewide,6881,4286,2993,14160,6282,3796,2534,12612,6101,3667,2387,12155
ALL,CAROLINE,Statewide,1072,882,486,2440,985,764,415,2164,953,740,391,2084
ALL,CARROLL,Statewide,10243,8428,4947,23618,9399,7438,4231,21068,9224,7353,4146,20723
ALL,CECIL,Statewide,4396,4210,2180,10786,3960,3685,1848,9493,3266,2999,1433,7698
ALL,CHARLES,Statewide,14726,3284,3558,21568,12995,2861,2892,18748,12588,2778,2754,18120
ALL,DORCHESTER,Statewide,1875,981,484,3340,1729,898,412,3039,1665,857,383,2905
ALL,FREDERICK,Statewide,23174,9305,9190,41669,20948,8053,7776,36777,20651,7949,7651,36251
ALL,GARRETT,Statewide,1003,1364,397,2764,921,1217,331,2469,908,1194,318,2420
ALL,HARFORD,Statewide,14876,9819,6696,31391,13341,8620,5695,27656,12242,7920,5016,25178
ALL,HOWARD,Statewide,34527,8392,12860,55779,30771,7184,10869,48824,27288,6460,9229,42977
ALL,KENT,Statewide,1508,659,414,2581,1378,576,352,2306,1212,517,292,2021
ALL,MONTGOMERY,Statewide,130464,21433,40083,191980,111762,17148,31536,160446,93925,14503,25381,133809
ALL,PRINCE GEORGE'S,Statewide,93861,6441,15495,115797,81563,5224,12247,99034,66343,4169,8950,79462
ALL,QUEEN ANNE'S,Statewide,2893,2315,1306,6514,2606,2008,1129,5743,2525,1931,1081,5537
ALL,SAINT MARY'S,Statewide,5926,3969,2699,12594,5327,3424,2296,11047,5226,3357,2228,10811
ALL,SOMERSET,Statewide,836,612,271,1719,745,518,221,1484,561,382,154,1097
ALL,TALBOT,Statewide,3113,1666,1231,6010,2839,1491,1047,5377,2561,1305,887,4753
ALL,WASHINGTON,Statewide,7746,5393,3339,16478,6959,4688,2775,14422,6850,4625,2715,14190
ALL,WICOMICO,Statewide,5114,2809,1801,9724,4602,2493,1498,8593,4282,2320,1391,7993
ALL,WORCESTER,Statewide,3612,2840,1519,7971,3255,2452,1268,6975,3084,2312,1149,6545
Civilian Overseas,ALLEGANY,Statewide,35,9,12,56,30,4,11,45,15,4,5,24
Civilian Overseas,ANNE ARUNDEL,Statewide,1066,201,449,1716,837,144,357,1338,785,132,340,1257
Civilian Overseas,BALTIMORE CITY,Statewide,1248,270,439,1957,924,141,277,1342,648,86,183,917
Civilian Overseas,BALTIMORE COUNTY,Statewide,1202,259,442,1903,913,167,291,1371,539,93,173,805
Civilian Overseas,CALVERT,Statewide,97,28,50,175,65,20,37,122,51,15,27,93
Civilian Overseas,CAROLINE,Statewide,12,1,5,18,10,0,4,14,6,0,0,6
