CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2440,2252,825,5517,1108,1117,337,2562,0,0,0,0
ALL,ANNE ARUNDEL,Statewide,45123,18517,17946,81586,17658,7156,5733,30547,0,0,0,0
ALL,BALTIMORE CITY,Statewide,53775,3518,7113,64406,15001,895,1269,17165,0,0,0,0
ALL,BALTIMORE COUNTY,Statewide,71189,20777,17790,109756,25406,7491,4828,37725,0,0,0,0
ALL,CALVERT,Statewide,6040,3680,2415,12135,2440,1414,797,4651,0,0,0,0
ALL,CAROLINE,Statewide,943,764,404,2111,420,317,147,884,0,0,0,0
ALL,CARROLL,Statewide,9208,7205,4000,20413,3614,2765,1291,7670,0,0,0,0
ALL,CECIL,Statewide,3859,3653,1755,9267,1348,1157,522,3027,0,0,0,0
ALL,CHARLES,Statewide,12412,2815,2786,18013,4456,1119,793,6368,0,0,0,0
ALL,DORCHESTER,Statewide,1664,845,412,2921,682,345,132,1159,0,0,0,0
ALL,FREDERICK,Statewide,20576,7962,7378,35916,6370,2378,1960,10708,0,0,0,0
ALL,GARRETT,Statewide,918,1217,343,2478,433,515,122,1070,0,0,0,0
ALL,HARFORD,Statewide,13136,8404,5461,27001,5395,3438,1831,10664,0,0,0,0
ALL,HOWARD,Statewide,30594,7251,10406,48251,11165,2548,3115,16828,0,0,0,0
ALL,KENT,Statewide,1386,571,348,2305,661,269,129,1059,0,0,0,0
ALL,MONTGOMERY,Statewide,112519,17662,30909,161090,31797,5322,7385,44504,0,0,0,0
ALL,PRINCE GEORGE'S,Statewide,78745,5294,11803,95842,28085,1836,2814,32735,0,0,0,0
ALL,QUEEN ANNE'S,Statewide,2636,2007,1111,5754,1051,853,417,2321,0,0,0,0
ALL,SAINT MARY'S,Statewide,5205,3380,2147,10732,2127,1266,717,4110,0,0,0,0
ALL,SOMERSET,Statewide,761,529,231,1521,359,207,85,651,0,0,0,0
ALL,TALBOT,Statewide,2820,1469,1073,5362,1343,650,411,2404,0,0,0,0
ALL,WASHINGTON,Statewide,6954,4748,2769,14471,2888,2012,924,5824,0,0,0,0
ALL,WICOMICO,Statewide,4531,2412,1489,8432,2073,1120,522,3715,0,0,0,0
ALL,WORCESTER,Statewide,3256,2454,1274,6984,1651,1172,508,3331,0,0,0,0
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,29,5,11,45,7,0,2,9,0,0,0,0
Civilian Overseas,ANNE ARUNDEL,Statewide,931,164,377,1472,196,24,70,290,0,0,0,0
